"IDFolio";"IdPersona";"IdViaje";"ZonaOrigen";"ComunaOrigen";"ZonaDestino";"ComunaDestino";"Proposito";"PropositoEstraus";"IDModo";"IDModoAgregado";"HoraInicio";"HoraTermino";"HoraMedia";"TiempoViaje";"CuadrasCaminadas";"MinutosCaminados";"IDPeriodos";"IDPeriodosMedicionFlujos";"OtroProposito";"ManzanaOri";"ManzanaDes";"valida";"Factor_Zona";"Factor_Subreporte";"Factor"
1003037;1;1;1;0;56;1;1;0;1;1;30-12-1899 7:30:00;30-12-1899 7:45:00;30-12-1899 7:38:00;30-12-1899 0:15:00;0;0;1;1;"null                                              ";1003;56004;1;43,41;0,66;28,98
1003037;1;2;56;0;1;1;6;0;1;1;30-12-1899 12:15:00;30-12-1899 12:30:00;30-12-1899 12:23:00;30-12-1899 0:15:00;0;0;4;1;"null                                              ";56004;1003;1;43,41;1,46;63,66
1003037;1;3;1;0;56;1;1;0;1;1;30-12-1899 13:30:00;30-12-1899 13:45:00;30-12-1899 13:38:00;30-12-1899 0:15:00;0;0;2;1;"null                                              ";1003;56004;1;43,41;1,00;43,41
1003037;1;4;56;0;1;1;6;0;1;1;30-12-1899 19:00:00;30-12-1899 19:15:00;30-12-1899 19:08:00;30-12-1899 0:15:00;0;0;4;1;"null                                              ";56004;1003;1;43,41;1,46;63,66
1003037;2;1;1;0;38;1;11;2;4;2;30-12-1899 9:30:00;30-12-1899 9:50:00;30-12-1899 9:40:00;30-12-1899 0:20:00;7;9;4;1;"null                                              ";1003;38009;1;43,41;1,77;77,27
1003037;2;2;38;0;1;1;6;2;4;2;30-12-1899 11:00:00;30-12-1899 11:20:00;30-12-1899 11:10:00;30-12-1899 0:20:00;2;3;4;1;"null                                              ";38009;1003;1;43,41;1,77;77,27
1003037;2;3;1;0;2;1;5;2;7;5;30-12-1899 14:00:00;30-12-1899 14:10:00;30-12-1899 14:05:00;30-12-1899 0:10:00;5;10;4;1;"null                                              ";1003;2044;1;43,41;1,00;43,41
1003037;2;4;2;0;2;1;5;2;7;5;30-12-1899 15:15:00;30-12-1899 15:30:00;30-12-1899 15:23:00;30-12-1899 0:15:00;5;15;4;1;"null                                              ";2044;2004;1;43,41;1,00;43,41
1003037;2;5;2;0;1;1;6;2;7;5;30-12-1899 16:00:00;30-12-1899 16:10:00;30-12-1899 16:05:00;30-12-1899 0:10:00;4;10;4;1;"null                                              ";2004;1003;1;43,41;1,00;43,41
1003037;2;6;1;0;4;1;5;2;7;5;30-12-1899 19:00:00;30-12-1899 19:15:00;30-12-1899 19:08:00;30-12-1899 0:15:00;5;15;4;1;"null                                              ";1003;4018;1;43,41;1,00;43,41
1003037;2;7;4;0;1;1;6;2;2;1;30-12-1899 22:00:00;30-12-1899 22:05:00;30-12-1899 22:02:00;30-12-1899 0:05:00;0;0;4;1;"null                                              ";4018;1003;1;43,41;2,60;113,04
1003048;1;1;1;0;49;1;7;2;1;1;30-12-1899 7:48:00;30-12-1899 8:05:00;30-12-1899 7:56:00;30-12-1899 0:17:00;0;0;1;1;"null                                              ";1003;49017;1;43,41;0,66;28,98
1003048;1;2;49;0;4;1;1;0;1;1;30-12-1899 8:20:00;30-12-1899 8:28:00;30-12-1899 8:24:00;30-12-1899 0:08:00;0;0;1;1;"null                                              ";49017;4025;1;43,41;0,66;28,98
1003048;1;3;4;0;1;1;6;0;1;1;30-12-1899 12:50:00;30-12-1899 12:55:00;30-12-1899 12:52:00;30-12-1899 0:05:00;0;0;2;1;"null                                              ";4025;1003;1;43,41;1,00;43,41
1003048;1;4;1;0;4;1;1;0;1;1;30-12-1899 13:20:00;30-12-1899 13:25:00;30-12-1899 13:22:00;30-12-1899 0:05:00;0;0;2;1;"null                                              ";1003;4025;1;43,41;1,00;43,41
1003048;1;5;4;0;1;1;6;0;1;1;30-12-1899 19:00:00;30-12-1899 19:05:00;30-12-1899 19:02:00;30-12-1899 0:05:00;0;0;4;1;"null                                              ";4025;1003;1;43,41;1,46;63,66
1003048;1;6;1;0;12;1;10;2;1;1;30-12-1899 21:20:00;30-12-1899 21:35:00;30-12-1899 21:28:00;30-12-1899 0:15:00;0;0;4;1;"null                                              ";1003;12041;1;43,41;1,46;63,66
1003048;1;7;12;0;1;1;6;2;1;1;30-12-1899 21:50:00;30-12-1899 22:10:00;30-12-1899 22:00:00;30-12-1899 0:20:00;0;0;4;1;"null                                              ";12041;1003;1;43,41;1,46;63,66
1003048;3;1;1;0;49;1;3;1;2;1;30-12-1899 7:48:00;30-12-1899 8:05:00;30-12-1899 7:56:00;30-12-1899 0:17:00;0;0;1;1;"null                                              ";1003;49017;1;43,41;0,64;28,07
1003048;3;2;49;0;1;1;6;1;2;1;30-12-1899 16:30:00;30-12-1899 16:42:00;30-12-1899 16:36:00;30-12-1899 0:12:00;0;0;4;1;"null                                              ";49017;1003;1;43,41;2,60;113,04
1003048;3;3;1;0;12;1;10;2;2;1;30-12-1899 21:20:00;30-12-1899 21:35:00;30-12-1899 21:28:00;30-12-1899 0:15:00;0;0;4;1;"null                                              ";1003;12041;1;43,41;2,60;113,04
1003048;3;4;12;0;1;1;6;2;2;1;30-12-1899 21:50:00;30-12-1899 22:10:00;30-12-1899 22:00:00;30-12-1899 0:20:00;0;0;4;1;"null                                              ";12041;1003;1;43,41;2,60;113,04
1003077;1;1;0;1;1;1;6;2;2;1;30-12-1899 12:45:00;30-12-1899 13:00:00;30-12-1899 12:53:00;30-12-1899 0:15:00;0;0;2;1;"null                                              ";0;1003;0;43,41;1,00;43,41
1003077;1;2;1;0;71;0;5;2;2;1;30-12-1899 21:30:00;30-12-1899 22:10:00;30-12-1899 21:50:00;30-12-1899 0:40:00;0;0;4;1;"null                                              ";1003;71000;1;43,41;2,60;113,04
1003077;2;1;1;0;3;1;3;1;1;1;30-12-1899 11:30:00;30-12-1899 11:35:00;30-12-1899 11:32:00;30-12-1899 0:05:00;0;0;4;1;"null                                              ";1003;3001;1;43,41;1,46;63,66
1003077;2;2;3;0;1;1;6;1;1;1;30-12-1899 15:55:00;30-12-1899 16:00:00;30-12-1899 15:57:00;30-12-1899 0:05:00;0;0;4;1;"null                                              ";3001;1003;1;43,41;1,46;63,66
1003077;2;3;1;0;4;1;10;2;1;1;30-12-1899 19:00:00;30-12-1899 19:05:00;30-12-1899 19:02:00;30-12-1899 0:05:00;0;0;4;1;"null                                              ";1003;4005;1;43,41;1,46;63,66
1003077;2;4;4;0;1;1;6;2;1;1;30-12-1899 19:20:00;30-12-1899 19:25:00;30-12-1899 19:22:00;30-12-1899 0:05:00;0;0;4;1;"null                                              ";4005;1003;1;43,41;1,46;63,66
1003103;1;1;1;0;15;1;4;2;1;1;30-12-1899 9:30:00;30-12-1899 9:50:00;30-12-1899 9:40:00;30-12-1899 0:20:00;0;0;4;1;"null                                              ";1003;15001;1;43,41;1,46;63,66
1003103;1;2;15;0;1;1;6;2;1;1;30-12-1899 12:15:00;30-12-1899 12:35:00;30-12-1899 12:25:00;30-12-1899 0:20:00;0;0;4;1;"null                                              ";15001;1003;1;43,41;1,46;63,66
1003103;1;3;1;0;49;1;10;2;1;1;30-12-1899 17:00:00;30-12-1899 17:10:00;30-12-1899 17:05:00;30-12-1899 0:10:00;0;0;4;1;"null                                              ";1003;49002;1;43,41;1,46;63,66
1003103;1;4;49;0;1;1;6;2;1;1;30-12-1899 17:25:00;30-12-1899 17:35:00;30-12-1899 17:30:00;30-12-1899 0:10:00;0;0;4;1;"null                                              ";49002;1003;1;43,41;1,46;63,66
