"IDFolio";"IdPersona";"IdViaje";"ZonaOrigen";"ComunaOrigen";"ZonaDestino";"ComunaDestino";"Proposito";"PropositoEstraus";"IDModo";"IDModoAgregado";"HoraInicio";"HoraTermino";"HoraMedia";"TiempoViaje";"CuadrasCaminadas";"MinutosCaminados";"IDPeriodos";"IDPeriodosMedicionFlujos";"OtroProposito";"ManzanaOri";"ManzanaDes";"valida";"Factor"
1001021;1;1;1;0;2;1;1;0;8;4;30-12-1899 13:30:00;30-12-1899 13:40:00;30-12-1899 13:35:00;30-12-1899 0:10:00;0;0;2;3;"";1001;2030;1;16.19
1001021;1;2;2;0;1;1;6;0;8;4;30-12-1899 17:30:00;30-12-1899 17:50:00;30-12-1899 17:40:00;30-12-1899 0:20:00;0;0;3;3;"";2030;1001;1;16.19
1001021;1;3;1;0;2;1;10;2;8;4;30-12-1899 19:00:00;30-12-1899 19:10:00;30-12-1899 19:05:00;30-12-1899 0:10:00;0;0;5;3;"";1001;2041;1;16.19
1001021;1;4;2;0;1;1;6;2;8;4;30-12-1899 19:40:00;30-12-1899 19:55:00;30-12-1899 19:48:00;30-12-1899 0:15:00;0;0;5;3;"";2041;1001;1;16.19
1001021;2;1;1;0;67;1;10;2;3;2;30-12-1899 17:00:00;30-12-1899 17:20:00;30-12-1899 17:10:00;30-12-1899 0:20:00;3;4;4;3;"";1001;67052;1;13.24
1001021;2;2;67;0;1;1;6;2;3;2;30-12-1899 20:00:00;30-12-1899 20:30:00;30-12-1899 20:15:00;30-12-1899 0:30:00;3;5;5;3;"";67052;1001;1;13.24
1001021;4;1;1;0;26;1;3;1;4;2;30-12-1899 7:30:00;30-12-1899 7:55:00;30-12-1899 7:42:00;30-12-1899 0:25:00;6;10;1;1;"";1001;26001;1;12.47
1001021;4;2;26;0;1;1;6;1;4;2;30-12-1899 17:30:00;30-12-1899 18:00:00;30-12-1899 17:45:00;30-12-1899 0:30:00;3;4;3;3;"";26001;1001;1;12.47
1001021;5;1;1;0;5;1;3;1;7;5;30-12-1899 13:00:00;30-12-1899 13:10:00;30-12-1899 13:05:00;30-12-1899 0:10:00;3;10;2;3;"";1001;5003;1;15.60
1001021;5;2;5;0;1;1;6;1;7;5;30-12-1899 18:30:00;30-12-1899 18:45:00;30-12-1899 18:38:00;30-12-1899 0:15:00;3;15;3;3;"";5003;1001;1;15.60
1001027;2;1;1;0;24;1;11;2;3;2;30-12-1899 10:30:00;30-12-1899 11:45:00;30-12-1899 11:08:00;30-12-1899 1:15:00;6;8;4;2;"";1001;24004;1;18.41
1001027;2;2;24;0;1;1;6;2;3;2;30-12-1899 12:10:00;30-12-1899 12:30:00;30-12-1899 12:20:00;30-12-1899 0:20:00;2;3;4;3;"";24004;1001;1;18.41
1001027;2;3;1;0;6;1;7;2;1;1;30-12-1899 13:40:00;30-12-1899 14:00:00;30-12-1899 13:50:00;30-12-1899 0:20:00;0;0;4;3;"";1001;6007;1;18.41
1001027;2;4;6;0;1;1;6;2;1;1;30-12-1899 14:03:00;30-12-1899 14:15:00;30-12-1899 14:09:00;30-12-1899 0:12:00;0;0;4;3;"";6007;1001;1;18.41
1001027;2;5;1;0;6;1;7;2;1;1;30-12-1899 17:35:00;30-12-1899 18:00:00;30-12-1899 17:47:00;30-12-1899 0:25:00;0;0;3;3;"";1001;6007;1;18.41
1001027;2;6;6;0;1;1;6;2;1;1;30-12-1899 18:05:00;30-12-1899 18:15:00;30-12-1899 18:10:00;30-12-1899 0:10:00;0;0;3;3;"";6007;1001;1;18.41
1001027;3;1;1;0;5;1;3;1;7;5;30-12-1899 8:05:00;30-12-1899 8:20:00;30-12-1899 8:13:00;30-12-1899 0:15:00;6;15;1;1;"";1001;5003;1;21.70
1001027;3;2;5;0;1;1;6;1;7;5;30-12-1899 13:20:00;30-12-1899 13:35:00;30-12-1899 13:28:00;30-12-1899 0:15:00;6;15;2;3;"";5003;1001;1;21.70
1001027;4;1;1;0;6;1;3;1;2;1;30-12-1899 13:40:00;30-12-1899 14:10:00;30-12-1899 13:55:00;30-12-1899 0:30:00;0;0;4;3;"";1001;6007;1;21.70
1001027;4;2;6;0;1;1;6;1;2;1;30-12-1899 18:00:00;30-12-1899 18:20:00;30-12-1899 18:10:00;30-12-1899 0:20:00;0;0;3;3;"";6007;1001;1;21.70
1007003;1;1;1;0;69;1;1;0;8;4;30-12-1899 8:00:00;30-12-1899 8:15:00;30-12-1899 8:08:00;30-12-1899 0:15:00;0;0;1;1;"";1007;69000;1;22.52
1007003;1;2;69;0;1;1;6;0;8;4;30-12-1899 16:00:00;30-12-1899 16:20:00;30-12-1899 16:10:00;30-12-1899 0:20:00;0;0;4;3;"";69000;1007;1;22.52
1007003;3;1;1;0;28;1;7;2;3;2;30-12-1899 7:30:00;30-12-1899 8:10:00;30-12-1899 7:50:00;30-12-1899 0:40:00;5;9;1;1;"";1007;28005;1;21.73
1007003;3;2;28;0;1;1;6;2;4;2;30-12-1899 8:20:00;30-12-1899 9:00:00;30-12-1899 8:40:00;30-12-1899 0:40:00;3;5;4;1;"";28005;1007;1;21.73
1007003;3;3;1;0;26;1;7;2;4;2;30-12-1899 17:00:00;30-12-1899 17:30:00;30-12-1899 17:15:00;30-12-1899 0:30:00;6;10;4;3;"";1007;26001;1;21.73
1007003;3;4;26;0;1;1;6;2;4;2;30-12-1899 17:35:00;30-12-1899 18:05:00;30-12-1899 17:50:00;30-12-1899 0:30:00;3;5;3;3;"";26001;1007;1;21.73
1007003;4;1;1;0;28;1;3;1;3;2;30-12-1899 7:30:00;30-12-1899 8:10:00;30-12-1899 7:50:00;30-12-1899 0:40:00;5;8;1;1;"";1007;28005;1;17.34
1007003;4;2;28;0;1;1;6;1;4;2;30-12-1899 17:35:00;30-12-1899 18:05:00;30-12-1899 17:50:00;30-12-1899 0:30:00;3;5;3;3;"";28005;1007;1;17.34
1007005;4;1;1;0;7;1;3;1;7;5;30-12-1899 8:00:00;30-12-1899 8:10:00;30-12-1899 8:05:00;30-12-1899 0:10:00;4;10;1;1;"";1007;7001;1;21.73
1007005;4;2;7;0;1;1;6;1;7;5;30-12-1899 19:00:00;30-12-1899 19:10:00;30-12-1899 19:05:00;30-12-1899 0:10:00;4;10;5;3;"";7001;1007;1;21.73
1007013;1;1;1;0;39;1;4;2;4;2;30-12-1899 7:30:00;30-12-1899 7:55:00;30-12-1899 7:42:00;30-12-1899 0:25:00;0;0;1;1;"";1007;39001;1;31.52
1007013;1;2;39;0;1;1;6;2;4;2;30-12-1899 12:30:00;30-12-1899 13:10:00;30-12-1899 12:50:00;30-12-1899 0:40:00;1;1;2;3;"";39001;1007;1;31.52
1007016;2;1;1;0;3;1;1;0;7;5;30-12-1899 7:00:00;30-12-1899 7:30:00;30-12-1899 7:15:00;30-12-1899 0:30:00;7;30;5;3;"";1007;3035;1;25.99
1007016;2;2;3;0;1;1;6;0;7;5;30-12-1899 17:30:00;30-12-1899 18:00:00;30-12-1899 17:45:00;30-12-1899 0:30:00;7;30;3;3;"";3035;1007;1;25.99
1007016;3;1;1;0;20;1;1;0;3;2;30-12-1899 8:15:00;30-12-1899 8:30:00;30-12-1899 8:23:00;30-12-1899 0:15:00;1;2;1;1;"";1007;20015;1;25.07
1007016;3;2;20;0;1;1;6;0;3;2;30-12-1899 17:30:00;30-12-1899 18:00:00;30-12-1899 17:45:00;30-12-1899 0:30:00;3;5;3;3;"";20015;1007;1;25.07
1017001;2;1;1;0;23;1;1;0;3;2;30-12-1899 7:40:00;30-12-1899 7:55:00;30-12-1899 7:48:00;30-12-1899 0:15:00;6;9;1;1;"";1017;23001;1;42.96
1017001;2;2;23;0;1;1;6;0;3;2;30-12-1899 18:30:00;30-12-1899 19:10:00;30-12-1899 18:50:00;30-12-1899 0:40:00;2;4;5;3;"";23001;1017;1;42.96
1017003;1;1;1;0;24;1;11;2;3;2;30-12-1899 9:30:00;30-12-1899 10:00:00;30-12-1899 9:45:00;30-12-1899 0:30:00;4;7;4;3;"";1017;24008;1;31.52
1017003;1;2;24;0;1;1;6;2;4;2;30-12-1899 12:00:00;30-12-1899 12:30:00;30-12-1899 12:15:00;30-12-1899 0:30:00;4;7;4;3;"";24008;1017;1;31.52
1017015;2;1;1;0;5;1;7;2;7;5;30-12-1899 8:10:00;30-12-1899 8:25:00;30-12-1899 8:18:00;30-12-1899 0:15:00;7;15;1;1;"";1017;5003;1;15.62
1017015;2;2;5;0;1;1;6;2;7;5;30-12-1899 8:30:00;30-12-1899 8:50:00;30-12-1899 8:40:00;30-12-1899 0:20:00;7;20;4;1;"";5003;1017;1;15.62
1017015;2;3;1;0;5;1;7;2;7;5;30-12-1899 13:10:00;30-12-1899 13:25:00;30-12-1899 13:18:00;30-12-1899 0:15:00;7;15;2;3;"";1017;5003;1;15.62
1017015;2;4;5;0;1;1;6;2;7;5;30-12-1899 13:35:00;30-12-1899 13:50:00;30-12-1899 13:43:00;30-12-1899 0:15:00;7;15;2;3;"";5003;1017;1;15.62
1017015;3;1;1;0;5;1;3;1;7;5;30-12-1899 8:10:00;30-12-1899 8:30:00;30-12-1899 8:20:00;30-12-1899 0:20:00;7;20;1;1;"";1017;5003;1;15.60
1017015;3;2;5;0;1;1;6;1;7;5;30-12-1899 13:35:00;30-12-1899 13:50:00;30-12-1899 13:43:00;30-12-1899 0:15:00;7;15;2;3;"";5003;1017;1;15.60
1017015;4;1;1;0;5;1;7;2;7;5;30-12-1899 8:10:00;30-12-1899 8:25:00;30-12-1899 8:18:00;30-12-1899 0:15:00;7;15;1;1;"";1017;5003;1;27.17
1017015;4;2;5;0;1;1;6;2;7;5;30-12-1899 8:30:00;30-12-1899 8:50:00;30-12-1899 8:40:00;30-12-1899 0:20:00;7;20;4;1;"";5003;1017;1;27.17
1017015;4;3;1;0;5;1;7;2;7;5;30-12-1899 13:10:00;30-12-1899 13:25:00;30-12-1899 13:18:00;30-12-1899 0:15:00;7;15;2;3;"";1017;5003;1;27.17
1017015;4;4;5;0;1;1;6;2;7;5;30-12-1899 13:35:00;30-12-1899 13:50:00;30-12-1899 13:43:00;30-12-1899 0:15:00;7;15;2;3;"";5003;1017;1;27.17
1017015;5;1;1;0;70;1;1;0;2;1;30-12-1899 18:50:00;30-12-1899 19:35:00;30-12-1899 19:12:00;30-12-1899 0:45:00;1;2;5;3;"";1017;70000;1;16.19
1017015;5;2;70;0;1;1;6;0;2;1;30-12-1899 8:00:00;30-12-1899 8:55:00;30-12-1899 8:28:00;30-12-1899 0:55:00;1;2;1;1;"";70000;1017;1;16.19
1017019;2;1;1;0;6;1;1;0;7;5;30-12-1899 8:30:00;30-12-1899 9:00:00;30-12-1899 8:45:00;30-12-1899 0:30:00;8;30;4;1;"";1017;6001;1;13.24
1017019;2;2;6;0;24;1;11;2;3;2;30-12-1899 12:30:00;30-12-1899 12:50:00;30-12-1899 12:40:00;30-12-1899 0:20:00;4;7;4;3;"";6001;24004;1;13.24
1017019;2;3;24;0;1;1;6;2;3;2;30-12-1899 13:30:00;30-12-1899 14:00:00;30-12-1899 13:45:00;30-12-1899 0:30:00;3;5;4;3;"";24004;1017;1;13.24
1017019;2;4;1;0;5;1;1;0;8;4;30-12-1899 16:30:00;30-12-1899 16:40:00;30-12-1899 16:35:00;30-12-1899 0:10:00;0;0;4;3;"";1017;5013;1;13.24
1017019;2;5;5;0;1;1;6;0;8;4;30-12-1899 18:00:00;30-12-1899 18:30:00;30-12-1899 18:15:00;30-12-1899 0:30:00;0;0;3;3;"";5013;1017;1;13.24
1017019;3;1;1;0;9;1;3;1;3;2;30-12-1899 7:40:00;30-12-1899 8:00:00;30-12-1899 7:50:00;30-12-1899 0:20:00;5;8;1;1;"";1017;9057;1;23.20
1017019;3;2;9;0;22;1;11;2;7;5;30-12-1899 12:15:00;30-12-1899 12:30:00;30-12-1899 12:23:00;30-12-1899 0:15:00;6;15;4;3;"";9057;22001;1;23.20
1017019;3;3;22;0;24;1;11;2;7;5;30-12-1899 12:45:00;30-12-1899 12:50:00;30-12-1899 12:47:00;30-12-1899 0:05:00;3;5;2;3;"";22001;24006;1;23.20
1017019;3;4;24;0;1;1;6;2;4;2;30-12-1899 13:15:00;30-12-1899 13:50:00;30-12-1899 13:33:00;30-12-1899 0:35:00;3;5;2;3;"";24006;1017;1;23.20
1017019;4;1;1;0;5;1;3;1;7;5;30-12-1899 8:10:00;30-12-1899 8:20:00;30-12-1899 8:15:00;30-12-1899 0:10:00;9;10;1;1;"";1017;5003;1;12.47
1017019;4;2;5;0;67;1;11;2;4;2;30-12-1899 16:00:00;30-12-1899 16:25:00;30-12-1899 16:12:00;30-12-1899 0:25:00;0;0;4;3;"";5003;67074;1;12.47
