Codigo,Comuna,Ciudad,Comuna_lowercase
3101,Copiapó,Copiapo,copiapó
4101,La Serena,Gran Coquimbo,la serena
4102,Coquimbo,Gran Coquimbo,coquimbo
8101,Concepción,Gran Concepcion,concepción
8102,Coronel,Gran Concepcion,coronel
8103,Chiguayante,Gran Concepcion,chiguayante
8106,Lota,Gran Concepcion,lota
8107,Penco,Gran Concepcion,penco
8108,San Pedro de la Paz,Gran Concepcion,san pedro de la paz
8110,Talcahuano,Gran Concepcion,talcahuano
8111,Tomé,Gran Concepcion,tomé
8112,Hualpén,Gran Concepcion,hualpén
9101,Temuco,Temuco,temuco
13101,Santiago,Gran Santiago,santiago
13102,Cerrillos,Gran Santiago,cerrillos
13103,Cerro Navia,Gran Santiago,cerro navia
13104,Conchalí,Gran Santiago,conchalí
13105,El Bosque,Gran Santiago,el bosque
13106,Estación Central,Gran Santiago,estación central
13107,Huechuraba,Gran Santiago,huechuraba
13108,Independencia,Gran Santiago,independencia
13109,La Cisterna,Gran Santiago,la cisterna
13110,La Florida,Gran Santiago,la florida
13111,La Granja,Gran Santiago,la granja
13112,La Pintana,Gran Santiago,la pintana
13113,La Reina,Gran Santiago,la reina
13114,Las Condes,Gran Santiago,las condes
13115,Lo Barnechea,Gran Santiago,lo barnechea
13116,Lo Espejo,Gran Santiago,lo espejo
13117,Lo Prado,Gran Santiago,lo prado
13118,Macul,Gran Santiago,macul
13119,Maipú,Gran Santiago,maipú
13120,Ñuñoa,Gran Santiago,ñuñoa
13121,Pedro Aguirre Cerda,Gran Santiago,pedro aguirre cerda
13122,Peñalolén,Gran Santiago,peñalolén
13123,Providencia,Gran Santiago,providencia
13124,Pudahuel,Gran Santiago,pudahuel
13125,Quilicura,Gran Santiago,quilicura
13126,Quinta Normal,Gran Santiago,quinta normal
13127,Recoleta,Gran Santiago,recoleta
13128,Renca,Gran Santiago,renca
13129,San Joaquín,Gran Santiago,san joaquín
13130,San Miguel,Gran Santiago,san miguel
13131,San Ramón,Gran Santiago,san ramón
13132,Vitacura,Gran Santiago,vitacura
13201,Puente Alto,Gran Santiago,puente alto
13401,San Bernardo,Gran Santiago,san bernardo
14101,Valdivia,Valdivia,valdivia
9112,Padre Las Casas,Temuco,padre las casas
