"IDFolio";"IDPersona";"AgnoNacimiento";"IDSexo";"IDRelacionJefeHogar";"IDEstudios";"IDLugarEstudios";"IDTituloProfesional";"IDActividad";"IDJornadaTrabajo";"Ingreso";"IDTipoIngreso";"Observaciones";"EfectuaViajes";"NumeroViajes";"Factor"
1001021;1;1949;1;0;3;0;0;5;1;160000;1;"NA";1;4;15,72
1001021;2;1955;2;1;3;0;0;11;0;0;0;"NA";1;2;12,85
1001021;3;1986;2;2;4;0;0;4;1;240000;1;"(ingreso imputado), se desempe̱a como administradora de una tienda comercial,";0;0;15,16
1001021;4;1999;2;3;3;4;0;14;0;0;0;"NA";1;2;12,10
1001021;5;2000;1;3;3;4;0;14;0;0;0;"NA";1;2;15,14
1001027;1;1960;1;0;3;0;0;4;1;380000;1;"el dia de viajes estaba  trabajando en caldera ";0;0;21,86
1001027;2;1979;2;1;4;0;0;11;0;0;0;"na";1;6;17,87
1001027;3;1997;1;2;3;4;0;14;0;0;0;"na";1;2;21,06
1001027;4;2004;1;2;2;4;0;14;0;0;0;"na";1;2;21,06
1007003;1;1962;1;0;3;0;0;4;1;400000;1;"SE MOVILIZA EN BICICLETA";1;2;21,86
1007003;2;1962;2;1;4;0;0;11;0;0;0;"NO SALIO ESTUVO MUY OCUPADA TODO EL DIA";0;0;17,87
1007003;3;1981;2;2;3;0;0;11;0;0;0;"NA";1;4;21,09
1007003;4;2005;2;3;2;4;0;14;0;0;0;"NO CANCELA PASAJE";1;2;16,83
1007005;1;1939;2;0;1;0;0;9;0;45000;1;"solo sale en fechas de doctor o a cobrar su pension";0;0;11,84
1007005;2;1963;2;2;4;0;0;4;1;180000;1;"se fue el lunes 16 de agosto a vivir al sur";0;0;17,87
1007005;3;1978;1;2;3;0;0;5;1;300000;1;"se volvio a su casael sabado 14 de agosto en caldera en donde estan sus hijos y ";0;0;21,86
1007005;4;1991;2;3;6;6;0;14;0;0;0;"na";1;2;21,09
1007013;1;1933;2;0;3;0;0;9;0;40000;1;"NA";1;2;30,60
1007016;1;1956;2;0;3;0;0;3;2;60000;1;"SU INGRESO ES VARIABLE";0;0;20,62
1007016;2;1963;1;1;3;0;0;5;1;180000;1;"NA";1;2;25,23
1007016;3;1988;2;2;4;0;0;4;1;210000;1;"NA";1;2;24,34
1017001;1;1939;2;0;1;0;0;9;0;0;0;"evita bajar escaleras";0;0;27,64
1017001;2;1978;2;2;4;0;0;5;1;270000;1;"NA";1;2;41,70
1017003;1;1940;2;0;3;0;0;9;0;80000;1;"NA";1;2;30,60
