"IDFolio";"IDPersona";"AgnoNacimiento";"IDSexo";"IDRelacionJefeHogar";"IDEstudios";"IDLugarEstudios";"IDTituloProfesional";"IDActividad";"IDJornadaTrabajo";"Ingreso";"IDTipoIngreso";"Observaciones";"EfectuaViajes";"NumeroViajes";"Factor"
100007;1;1950;1;0;3;-1;0;4;1;525000;1;0;0;0;3,44
100007;2;1952;1;3;3;-1;0;4;1;205000;1;0;1;4;3,44
100007;3;1958;1;3;4;-1;0;4;1;205000;1;0;1;4;60,17
100007;4;1955;2;3;4;-1;0;3;2;205000;1;0;0;0;57,77
100031;1;1956;1;0;3;-1;0;11;0;0;2;0;1;2;59,43
100031;2;1965;1;3;3;-1;0;4;1;205000;1;0;1;2;59,43
100031;3;1975;2;3;3;-1;0;4;1;205000;1;0;1;2;19,57
100031;4;1996;1;3;4;4;0;14;0;0;2;0;1;2;26,58
100031;5;2005;2;3;2;3;0;14;0;0;2;0;1;2;54,81
100050;1;1956;1;0;4;-1;0;4;1;205000;1;0;1;2;46,94
100050;2;1957;2;1;4;-1;0;11;0;0;2;1;0;0;52,97
100050;3;1984;2;2;5;7;0;14;0;205000;1;0;1;4;15,46
100050;4;1989;1;2;5;7;0;14;0;0;2;0;1;2;24,28
100050;5;1992;1;2;4;4;0;14;0;0;2;1;1;2;24,28
100050;6;1994;1;2;4;4;0;14;0;0;2;0;1;2;21,00
100084;1;1959;2;0;4;-1;0;11;0;0;2;1;1;2;25,09
100084;2;1955;1;1;3;-1;0;3;1;0;4;0;1;2;20,95
100084;3;1984;1;2;4;-1;0;4;1;205000;1;0;1;2;23,36
100084;4;1996;2;3;3;4;0;14;0;0;2;1;1;2;11,04
100086;1;1965;2;0;3;-1;0;11;0;0;4;0;1;2;85,45
100086;2;1933;2;3;2;-1;0;4;1;0;3;0;1;2;20,97
100086;3;1958;1;3;2;-1;0;3;1;0;4;1;1;2;71,34
100086;4;1960;1;3;3;-1;0;3;1;0;3;1;1;2;71,34
100086;5;1984;2;2;7;-1;1;7;0;0;2;0;1;2;39,60
100086;6;1983;1;2;7;-1;1;1;1;0;3;1;1;2;79,54
100087;1;1982;2;0;4;-1;0;11;0;0;2;0;1;4;11,63
100087;2;1978;1;1;4;-1;0;5;1;0;3;0;1;2;23,36
100087;3;1975;1;3;3;-1;0;5;2;300000;1;1;0;0;23,36
100087;4;2005;2;2;2;3;0;14;0;0;2;0;1;2;132,03
100155;1;1976;2;1;3;-1;0;3;2;120000;1;0;1;2;11,63
100155;2;1974;1;0;4;-1;0;3;2;120000;1;0;1;2;23,36
100155;3;1999;1;2;3;4;0;14;0;0;2;0;1;2;28,53
100155;4;2001;1;2;3;4;0;14;0;0;2;0;1;2;28,53
100158;1;1939;1;5;3;-1;0;9;0;120000;1;0;1;2;10,73
100158;2;1979;2;1;3;-1;0;11;0;0;2;0;1;4;11,63
100158;3;1969;1;0;3;-1;0;4;1;205000;1;0;1;2;20,95
100158;4;1961;2;3;2;-1;0;11;0;0;2;1;0;0;25,09
100442;1;1977;1;0;5;-1;1;1;1;0;3;0;1;2;18,23
100442;2;1980;2;1;4;-1;0;11;0;0;2;0;1;2;9,07
100442;3;2008;1;2;2;1;0;14;0;0;2;0;1;2;17,96
100475;1;1971;1;0;4;-1;0;4;1;205000;1;0;1;2;35,25
100475;2;1971;2;1;4;-1;0;6;1;120000;1;0;1;2;41,34
100475;3;1996;1;2;4;4;0;14;0;0;2;0;1;2;41,90
100476;1;1966;2;1;4;-1;0;11;0;0;2;0;0;0;107,78
100476;2;1951;1;0;6;-1;0;7;1;205000;1;0;1;2;73,10
100476;3;1983;2;2;4;-1;0;11;0;0;2;0;1;6;146,19
100476;4;1993;2;2;4;4;0;14;0;0;2;0;1;2;139,20
