IDFolio;IDPersona;IDViaje;Factor;ModoAgregado;TiempoViaje;Dist_Viaje_mt;Proposito;PropositoESTRAUS;Edad;Sexo;Ingreso;Actividad
100007;2;1;3,449309049;Caminata;0:15:00;0;Al Trabajo;Trabajo;58;Masculino;205000;Empleado (excepto F.F.A.A)
100007;2;2;3,449309049;Caminata;0:15:00;0;Volver a casa;Trabajo;58;Masculino;205000;Empleado (excepto F.F.A.A)
100007;2;3;3,449309049;Caminata;0:15:00;0;Al Trabajo;Trabajo;58;Masculino;205000;Empleado (excepto F.F.A.A)
100007;2;4;3,449309049;Caminata;0:15:00;0;Volver a casa;Trabajo;58;Masculino;205000;Empleado (excepto F.F.A.A)
100007;3;1;60,1745188;Caminata;0:15:00;0;Al Trabajo;Trabajo;52;Masculino;205000;Empleado (excepto F.F.A.A)
100007;3;2;60,1745188;Caminata;0:15:00;0;Volver a casa;Trabajo;52;Masculino;205000;Empleado (excepto F.F.A.A)
100007;3;3;60,1745188;Caminata;0:15:00;0;Al Trabajo;Trabajo;52;Masculino;205000;Empleado (excepto F.F.A.A)
100007;3;4;60,1745188;Caminata;0:15:00;0;Volver a casa;Trabajo;52;Masculino;205000;Empleado (excepto F.F.A.A)
100031;1;1;59,4340188;Caminata;0:10:00;0;De compras;Otros;54;Masculino;0;Duena de Casa
100031;1;2;59,4340188;Caminata;0:10:00;0;Volver a casa;Otros;54;Masculino;0;Duena de Casa
100031;2;1;59,4340188;Transporte Público;0:50:00;13333,3;Al Trabajo;Trabajo;45;Masculino;205000;Empleado (excepto F.F.A.A)
100031;2;2;59,4340188;Transporte Público;1:00:00;13333,3;Volver a casa;Trabajo;45;Masculino;205000;Empleado (excepto F.F.A.A)
100031;3;1;19,57669676;Transporte Público;0:50:00;13333,3;Al Trabajo;Trabajo;35;Femenino;205000;Empleado (excepto F.F.A.A)
100031;3;2;19,57669676;Transporte Público;1:00:00;13333,3;Volver a casa;Trabajo;35;Femenino;205000;Empleado (excepto F.F.A.A)
100031;4;1;26,58782674;Transporte Privado;0:50:00;10929,53;Al Estudio;Estudio;14;Masculino;0;Estudiante
100031;4;2;26,58782674;Transporte Privado;0:50:00;10929,53;Volver a casa;Estudio;14;Masculino;0;Estudiante
