"lon","lat","ID","Ciudad"
-70.32965,-27.37308,1,"Copiapo"
-70.32946,-27.362457,2,"Copiapo"
-70.30647,-27.373709,3,"Copiapo"
-70.32041,-27.372004,4,"Copiapo"
-70.32213,-27.356851,5,"Copiapo"
-70.31858,-27.36322,6,"Copiapo"
-70.32062,-27.371288,7,"Copiapo"
-70.32836,-27.373878,8,"Copiapo"
-70.3281,-27.371335,9,"Copiapo"
-70.30779,-27.383898,10,"Copiapo"
-70.26142,-27.418839,11,"Copiapo"
-70.32268,-27.380205,12,"Copiapo"
-70.29868,-27.392923,13,"Copiapo"
-70.33335,-27.361507,14,"Copiapo"
-70.31475,-27.367128,15,"Copiapo"
-70.30334,-27.389513,16,"Copiapo"
-70.30978,-27.381809,17,"Copiapo"
-70.31767,-27.369801,18,"Copiapo"
-70.31097,-27.357574,19,"Copiapo"
-70.34869,-27.358657,20,"Copiapo"
-70.31498,-27.379635,21,"Copiapo"
-70.3214,-27.372039,22,"Copiapo"
-70.315,-27.37953,23,"Copiapo"
-70.31466,-27.355276,24,"Copiapo"
-71.24336,-29.902953,1,"Gran Coquimbo"
-71.24057,-29.87853,2,"Gran Coquimbo"
-71.25112,-29.931807,3,"Gran Coquimbo"
-71.25515,-29.906089,4,"Gran Coquimbo"
-71.24638,-29.906838,5,"Gran Coquimbo"
-71.25172,-29.919989,6,"Gran Coquimbo"
-71.24469,-29.906408,7,"Gran Coquimbo"
-71.24486,-29.913703,8,"Gran Coquimbo"
-71.25341,-29.89786,9,"Gran Coquimbo"
-71.22066,-29.911697,10,"Gran Coquimbo"
-71.23638,-29.887004,11,"Gran Coquimbo"
-71.26393,-29.942495,12,"Gran Coquimbo"
-71.25834,-29.932679,13,"Gran Coquimbo"
-71.22617,-29.949436,14,"Gran Coquimbo"
-71.23356,-29.904323,15,"Gran Coquimbo"
-71.22512,-29.883223,16,"Gran Coquimbo"
-71.24561,-29.879034,17,"Gran Coquimbo"
-71.26124,-29.939386,18,"Gran Coquimbo"
-71.2409,-29.902235,19,"Gran Coquimbo"
-71.34013,-29.96055,20,"Gran Coquimbo"
-71.33829,-29.961269,21,"Gran Coquimbo"
-71.3391,-29.967343,22,"Gran Coquimbo"
-71.26179,-29.957185,23,"Gran Coquimbo"
-71.3264,-29.967146,24,"Gran Coquimbo"
-71.32417,-29.96769,25,"Gran Coquimbo"
-71.3488,-29.961393,26,"Gran Coquimbo"
-71.2962,-29.951578,27,"Gran Coquimbo"
-71.36121,-29.986132,28,"Gran Coquimbo"
-71.29909,-29.973808,29,"Gran Coquimbo"
-71.33578,-29.999409,30,"Gran Coquimbo"
-71.3438,-29.957443,31,"Gran Coquimbo"
-71.33467,-29.98802,32,"Gran Coquimbo"
-71.29585,-29.97295,33,"Gran Coquimbo"
-71.25091,-29.959816,34,"Gran Coquimbo"
-71.25592,-29.96605,35,"Gran Coquimbo"
-71.33043,-29.991884,36,"Gran Coquimbo"
-71.24448,-29.871945,37,"Gran Coquimbo"
-71.245,-29.876514,38,"Gran Coquimbo"
-71.2585,-29.970781,39,"Gran Coquimbo"
-71.24592,-29.907623,40,"Gran Coquimbo"
-71.23595,-29.886513,41,"Gran Coquimbo"
-71.23739,-29.868449,42,"Gran Coquimbo"
-71.21252,-29.919807,43,"Gran Coquimbo"
-71.26555,-29.950172,44,"Gran Coquimbo"
-71.32902,-29.98469,45,"Gran Coquimbo"
-71.23944,-29.870455,46,"Gran Coquimbo"
-71.33779,-29.967836,47,"Gran Coquimbo"
-71.21326,-29.917728,48,"Gran Coquimbo"
-71.24001,-29.87696,49,"Gran Coquimbo"
-71.2327,-29.875572,50,"Gran Coquimbo"
-71.25819,-29.958744,51,"Gran Coquimbo"
