"ID","walkshed.text"
1,"{""type"":""Polygon"",""coordinates"":[[[-70.3395,-27.3669],[-70.3395,-27.3707],[-70.3392,-27.3716],[-70.3367,-27.375],[-70.3365,-27.3759],[-70.3352,-27.38],[-70.3347,-27.3806],[-70.3343,-27.381],[-70.3326,-27.3811],[-70.3304,-27.3813],[-70.3303,-27.3813],[-70.3301,-27.3807],[-70.3299,-27.3802],[-70.3286,-27.3758],[-70.3263,-27.3766],[-70.3248,-27.3783],[-70.3247,-27.3797],[-70.3234,-27.3798],[-70.3194,-27.3789],[-70.3194,-27.3786],[-70.3195,-27.3775],[-70.3201,-27.3746],[-70.3209,-27.3723],[-70.3218,-27.3695],[-70.3224,-27.367],[-70.3224,-27.3669],[-70.3226,-27.3664],[-70.3267,-27.3651],[-70.3283,-27.3653],[-70.3322,-27.3656],[-70.334,-27.3657],[-70.3365,-27.3658],[-70.3383,-27.3661],[-70.3395,-27.3669]]]}"
2,"{""type"":""Polygon"",""coordinates"":[[[-70.3398,-27.361],[-70.3397,-27.3609],[-70.338,-27.3607],[-70.335,-27.3587],[-70.3342,-27.3571],[-70.3331,-27.3555],[-70.3315,-27.3546],[-70.3314,-27.3545],[-70.3294,-27.3542],[-70.3247,-27.3556],[-70.3235,-27.3559],[-70.3234,-27.356],[-70.3227,-27.3565],[-70.3224,-27.3568],[-70.3221,-27.3571],[-70.3219,-27.3574],[-70.3216,-27.3582],[-70.3207,-27.3613],[-70.3199,-27.3639],[-70.3203,-27.3675],[-70.3203,-27.3676],[-70.3204,-27.3679],[-70.3207,-27.3684],[-70.322,-27.3694],[-70.3254,-27.37],[-70.3294,-27.37],[-70.3307,-27.3701],[-70.3347,-27.3705],[-70.337,-27.3703],[-70.338,-27.3694],[-70.3383,-27.3662],[-70.3385,-27.3644],[-70.3398,-27.361]]]}"
3,"{""type"":""Polygon"",""coordinates"":[[[-70.316,-27.3717],[-70.316,-27.3718],[-70.3158,-27.3752],[-70.3144,-27.379],[-70.3134,-27.379],[-70.3131,-27.3791],[-70.3093,-27.3789],[-70.3071,-27.3823],[-70.3067,-27.3824],[-70.3052,-27.3827],[-70.302,-27.3826],[-70.3019,-27.3818],[-70.3019,-27.381],[-70.3028,-27.3793],[-70.3026,-27.376],[-70.3021,-27.3746],[-70.299,-27.3714],[-70.2989,-27.3713],[-70.2983,-27.3708],[-70.2982,-27.3707],[-70.2978,-27.3704],[-70.2975,-27.3694],[-70.2972,-27.3684],[-70.2973,-27.3685],[-70.2974,-27.3686],[-70.3009,-27.3719],[-70.3012,-27.372],[-70.3016,-27.372],[-70.3049,-27.3709],[-70.3062,-27.3683],[-70.3069,-27.366],[-70.3073,-27.3646],[-70.3073,-27.3645],[-70.3074,-27.3644],[-70.3074,-27.3643],[-70.3117,-27.3664],[-70.3126,-27.3663],[-70.313,-27.3663],[-70.3131,-27.3663],[-70.3159,-27.3696],[-70.316,-27.3717]]]}"
4,"{""type"":""Polygon"",""coordinates"":[[[-70.3297,-27.3677],[-70.3297,-27.3683],[-70.3294,-27.3701],[-70.329,-27.3732],[-70.3286,-27.3751],[-70.3285,-27.3756],[-70.3263,-27.3766],[-70.3247,-27.3797],[-70.3234,-27.3798],[-70.3229,-27.3797],[-70.3187,-27.3793],[-70.3143,-27.379],[-70.3134,-27.379],[-70.3134,-27.3789],[-70.3122,-27.3749],[-70.3122,-27.3747],[-70.3123,-27.3738],[-70.3119,-27.3697],[-70.3128,-27.3665],[-70.3144,-27.3647],[-70.3145,-27.3647],[-70.3164,-27.364],[-70.317,-27.3641],[-70.3177,-27.3642],[-70.3181,-27.3644],[-70.323,-27.3639],[-70.3241,-27.3636],[-70.3279,-27.3657],[-70.3297,-27.3677]]]}"
5,"{""type"":""Polygon"",""coordinates"":[[[-70.3311,-27.3596],[-70.3307,-27.3588],[-70.3291,-27.3578],[-70.3271,-27.3568],[-70.3263,-27.3564],[-70.3247,-27.3556],[-70.3214,-27.355],[-70.3198,-27.3529],[-70.3196,-27.3525],[-70.3192,-27.3513],[-70.3149,-27.3519],[-70.3119,-27.3544],[-70.3118,-27.3547],[-70.3116,-27.3566],[-70.3117,-27.357],[-70.3118,-27.3574],[-70.3123,-27.3581],[-70.3129,-27.3582],[-70.3147,-27.3586],[-70.3174,-27.3622],[-70.3172,-27.3629],[-70.3171,-27.3633],[-70.3172,-27.3634],[-70.3176,-27.3635],[-70.3192,-27.3637],[-70.3232,-27.3646],[-70.3276,-27.3645],[-70.3295,-27.3646],[-70.3297,-27.3632],[-70.3311,-27.3596]]]}"
6,"{""type"":""Polygon"",""coordinates"":[[[-70.3288,-27.3586],[-70.3284,-27.3582],[-70.3272,-27.3569],[-70.3261,-27.3565],[-70.3253,-27.3563],[-70.3231,-27.3561],[-70.3185,-27.3566],[-70.3167,-27.3558],[-70.3163,-27.3555],[-70.3152,-27.3553],[-70.3141,-27.3551],[-70.3118,-27.3556],[-70.3117,-27.3557],[-70.3116,-27.3561],[-70.3115,-27.3567],[-70.3114,-27.3572],[-70.3094,-27.3613],[-70.3093,-27.3614],[-70.3095,-27.3633],[-70.3096,-27.3641],[-70.3099,-27.3662],[-70.31,-27.3665],[-70.3101,-27.3668],[-70.3116,-27.3701],[-70.3122,-27.3699],[-70.3153,-27.3695],[-70.3177,-27.37],[-70.3182,-27.37],[-70.3195,-27.3697],[-70.3226,-27.3687],[-70.3239,-27.3681],[-70.3279,-27.3664],[-70.328,-27.3657],[-70.3281,-27.3634],[-70.3288,-27.3586]]]}"
7,"{""type"":""Polygon"",""coordinates"":[[[-70.3292,-27.3681],[-70.329,-27.3696],[-70.3284,-27.3735],[-70.328,-27.3755],[-70.3248,-27.3783],[-70.3241,-27.3794],[-70.3239,-27.3794],[-70.3233,-27.3793],[-70.3225,-27.3792],[-70.3223,-27.3792],[-70.3192,-27.3788],[-70.3183,-27.3786],[-70.3139,-27.3786],[-70.3118,-27.3752],[-70.3118,-27.375],[-70.3118,-27.3706],[-70.3117,-27.3699],[-70.3118,-27.3693],[-70.3125,-27.3662],[-70.3141,-27.3644],[-70.3141,-27.3644],[-70.3161,-27.3636],[-70.3167,-27.3637],[-70.3174,-27.3639],[-70.3178,-27.364],[-70.3227,-27.3637],[-70.3244,-27.3632],[-70.328,-27.3656],[-70.3292,-27.3681]]]}"
8,"{""type"":""Polygon"",""coordinates"":[[[-70.3383,-27.368],[-70.3371,-27.3669],[-70.3351,-27.3666],[-70.3349,-27.3666],[-70.3331,-27.3665],[-70.3314,-27.3664],[-70.3276,-27.3659],[-70.3252,-27.3657],[-70.3226,-27.3653],[-70.3225,-27.3654],[-70.3223,-27.3656],[-70.3215,-27.3665],[-70.3212,-27.3673],[-70.3207,-27.3696],[-70.3202,-27.3713],[-70.3191,-27.3744],[-70.3185,-27.378],[-70.3184,-27.3796],[-70.3185,-27.3798],[-70.3209,-27.3802],[-70.321,-27.3802],[-70.3225,-27.3803],[-70.323,-27.3804],[-70.326,-27.3804],[-70.3299,-27.382],[-70.33,-27.382],[-70.3344,-27.3816],[-70.3347,-27.3815],[-70.3361,-27.38],[-70.3342,-27.3762],[-70.3363,-27.3744],[-70.3367,-27.3735],[-70.3368,-27.3734],[-70.338,-27.3713],[-70.3382,-27.3696],[-70.3383,-27.368]]]}"
9,"{""type"":""Polygon"",""coordinates"":[[[-70.3375,-27.3685],[-70.3373,-27.3706],[-70.3368,-27.3725],[-70.3362,-27.3734],[-70.3362,-27.3734],[-70.3361,-27.3733],[-70.3324,-27.3727],[-70.333,-27.3776],[-70.3331,-27.3793],[-70.333,-27.3793],[-70.3317,-27.3794],[-70.3316,-27.3794],[-70.3315,-27.3793],[-70.3305,-27.3768],[-70.3263,-27.3766],[-70.3248,-27.3783],[-70.3245,-27.3786],[-70.3231,-27.3783],[-70.3208,-27.3778],[-70.3193,-27.3763],[-70.3188,-27.3746],[-70.3197,-27.372],[-70.3199,-27.3694],[-70.3204,-27.3675],[-70.3232,-27.3646],[-70.3266,-27.3635],[-70.3278,-27.3636],[-70.3306,-27.3638],[-70.3333,-27.3639],[-70.3355,-27.3641],[-70.3366,-27.3643],[-70.3373,-27.3652],[-70.3375,-27.3685]]]}"
10,"{""type"":""Polygon"",""coordinates"":[[[-70.3171,-27.3893],[-70.3166,-27.3845],[-70.3164,-27.3808],[-70.3162,-27.3762],[-70.316,-27.3762],[-70.3152,-27.3762],[-70.311,-27.3757],[-70.3104,-27.3757],[-70.3088,-27.3758],[-70.306,-27.376],[-70.3032,-27.3762],[-70.303,-27.3769],[-70.3009,-27.3812],[-70.3005,-27.3816],[-70.3001,-27.3819],[-70.3001,-27.3827],[-70.2997,-27.3874],[-70.2997,-27.3875],[-70.3001,-27.3914],[-70.3002,-27.3924],[-70.3013,-27.3923],[-70.3059,-27.3919],[-70.3105,-27.3914],[-70.3144,-27.3911],[-70.317,-27.3894],[-70.3171,-27.3893]]]}"
