"ID","walkshed.text"
1,"{""type"":""Polygon"",""coordinates"":[[[-73.0828,-36.8038],[-73.0826,-36.8049],[-73.0817,-36.8062],[-73.0813,-36.8101,0.0],[-73.0814,-36.8117],[-73.0811,-36.8147],[-73.0795,-36.8169],[-73.0781,-36.8172],[-73.0773,-36.8164],[-73.0739,-36.8157],[-73.0722,-36.817],[-73.0722,-36.817],[-73.0694,-36.8177],[-73.0671,-36.8173,0.0],[-73.067,-36.8171],[-73.0657,-36.8127],[-73.0648,-36.8079,0.0],[-73.0646,-36.8066],[-73.0652,-36.8059],[-73.0687,-36.8065],[-73.071,-36.8061],[-73.072,-36.8057],[-73.0751,-36.8032],[-73.0781,-36.8025],[-73.0825,-36.8025],[-73.0826,-36.8025],[-73.0826,-36.8026],[-73.0828,-36.8038]]]}"
2,"{""type"":""Polygon"",""coordinates"":[[[-73.0601,-36.8313],[-73.0601,-36.8279],[-73.0572,-36.8242,0.0],[-73.0567,-36.8231],[-73.056,-36.8211],[-73.0555,-36.82],[-73.0542,-36.8204],[-73.0536,-36.8205],[-73.0523,-36.8209],[-73.0517,-36.821],[-73.0499,-36.8214],[-73.0487,-36.8216,0.0],[-73.0481,-36.8217,0.0],[-73.0437,-36.8211],[-73.0405,-36.8236],[-73.0391,-36.8243,0.0],[-73.0382,-36.8264],[-73.0382,-36.8265],[-73.039,-36.8285],[-73.0397,-36.83],[-73.0406,-36.8316],[-73.0441,-36.8327],[-73.046,-36.8339],[-73.0494,-36.8358],[-73.0495,-36.8359],[-73.0496,-36.8359],[-73.0539,-36.836],[-73.0558,-36.8364],[-73.0578,-36.8359,0.0],[-73.0587,-36.835],[-73.0601,-36.8313]]]}"
3,"{""type"":""Polygon"",""coordinates"":[[[-73.0686,-36.8289],[-73.0682,-36.8276],[-73.0675,-36.8237,0.0],[-73.0672,-36.8228],[-73.0658,-36.8196],[-73.064,-36.8167],[-73.0631,-36.8159],[-73.0617,-36.8153],[-73.0604,-36.8149],[-73.0597,-36.815],[-73.0585,-36.8153],[-73.0567,-36.8156],[-73.0521,-36.8154],[-73.0482,-36.8179,0.0],[-73.0469,-36.8186],[-73.0459,-36.8195],[-73.0452,-36.8204],[-73.0458,-36.822,0.0],[-73.0464,-36.8235,0.0],[-73.0476,-36.8266,0.0],[-73.0478,-36.8272],[-73.0495,-36.8312,0.0],[-73.0503,-36.8332],[-73.0519,-36.8333],[-73.0534,-36.8329],[-73.0569,-36.8331],[-73.0625,-36.8308],[-73.0663,-36.8296],[-73.0686,-36.8289]]]}"
4,"{""type"":""Polygon"",""coordinates"":[[[-73.0612,-36.8381],[-73.0611,-36.8381],[-73.061,-36.8383],[-73.0594,-36.8402],[-73.0588,-36.8411],[-73.0565,-36.8455],[-73.0564,-36.8457],[-73.0564,-36.8458],[-73.0563,-36.8459],[-73.0563,-36.846],[-73.0562,-36.8461],[-73.0561,-36.8462],[-73.0559,-36.8465],[-73.0552,-36.8473],[-73.053,-36.8509],[-73.0506,-36.8528],[-73.0504,-36.8529,0.0],[-73.0489,-36.8511],[-73.0489,-36.8494],[-73.048,-36.8445],[-73.0479,-36.8444],[-73.048,-36.8434],[-73.049,-36.8432],[-73.0522,-36.8398],[-73.0553,-36.8386,0.0],[-73.0536,-36.8348],[-73.0534,-36.8348],[-73.0527,-36.8343],[-73.0526,-36.8341],[-73.0531,-36.8339],[-73.0547,-36.8333],[-73.0552,-36.8331],[-73.0572,-36.8325,0.0],[-73.0573,-36.8325,0.0],[-73.0584,-36.8331,0.0],[-73.0592,-36.8353],[-73.0612,-36.8381]]]}"
5,"{""type"":""Polygon"",""coordinates"":[[[-73.0535,-36.8201,0.0],[-73.0519,-36.8157,0.0],[-73.0505,-36.8123],[-73.0499,-36.8108],[-73.0451,-36.8107],[-73.044,-36.8105],[-73.0405,-36.8075],[-73.0377,-36.8076],[-73.0348,-36.8077,0.0],[-73.0326,-36.8075,0.0],[-73.0325,-36.8076],[-73.0322,-36.8079,0.0],[-73.0309,-36.8124],[-73.0307,-36.8132],[-73.0308,-36.8146],[-73.0324,-36.8174],[-73.0329,-36.8183],[-73.0343,-36.8229],[-73.0345,-36.823],[-73.0366,-36.8239],[-73.0382,-36.824],[-73.0417,-36.8242],[-73.0445,-36.8227,0.0],[-73.0464,-36.8223,0.0],[-73.048,-36.8217],[-73.0521,-36.8205],[-73.0535,-36.8201,0.0]]]}"
6,"{""type"":""Polygon"",""coordinates"":[[[-73.1221,-36.8395],[-73.1219,-36.8426],[-73.1202,-36.8437],[-73.1188,-36.8466],[-73.1188,-36.8468],[-73.1153,-36.8479],[-73.1153,-36.8479],[-73.1146,-36.8477],[-73.1145,-36.8476],[-73.1124,-36.8456],[-73.1079,-36.8458],[-73.1051,-36.847],[-73.103,-36.8476],[-73.1,-36.8453],[-73.0983,-36.8443],[-73.098,-36.8441],[-73.0992,-36.8412],[-73.0999,-36.8399,0.0],[-73.1014,-36.8387],[-73.1052,-36.8382],[-73.107,-36.8381],[-73.1072,-36.8381],[-73.1113,-36.8382],[-73.1149,-36.8375,0.0],[-73.1174,-36.8378],[-73.1188,-36.8381],[-73.1188,-36.8381],[-73.1198,-36.8385],[-73.1221,-36.8395]]]}"
7,"{""type"":""Polygon"",""coordinates"":[[[-73.0491,-36.831,0.0],[-73.0489,-36.8272],[-73.0475,-36.8227],[-73.0446,-36.8196,0.0],[-73.0438,-36.8183],[-73.0416,-36.8168],[-73.0389,-36.816,0.0],[-73.0374,-36.8159],[-73.0326,-36.8166,0.0],[-73.0325,-36.8174],[-73.0309,-36.8216],[-73.0288,-36.8258],[-73.0287,-36.8261],[-73.0287,-36.8261],[-73.0308,-36.8295],[-73.0304,-36.8312],[-73.0318,-36.8336],[-73.0336,-36.8338],[-73.0368,-36.8341],[-73.0372,-36.8341],[-73.0387,-36.8331],[-73.0397,-36.8324],[-73.0446,-36.8327],[-73.0448,-36.8328],[-73.0448,-36.8328],[-73.0491,-36.831,0.0]]]}"
8,"{""type"":""Polygon"",""coordinates"":[[[-73.0602,-36.8357],[-73.0598,-36.8367],[-73.0557,-36.8387],[-73.0553,-36.8388],[-73.0522,-36.8365],[-73.0495,-36.8359],[-73.047,-36.8359],[-73.0452,-36.8344],[-73.0449,-36.8338],[-73.0441,-36.8328],[-73.04,-36.8321],[-73.0396,-36.8314],[-73.0391,-36.8283],[-73.0389,-36.8268],[-73.0402,-36.8265,0.0],[-73.0426,-36.8258,0.0],[-73.0468,-36.8237],[-73.05,-36.8237],[-73.0519,-36.8233],[-73.0554,-36.8227],[-73.056,-36.8237,0.0],[-73.0567,-36.8256,0.0],[-73.0581,-36.8284],[-73.0597,-36.8318],[-73.0597,-36.8318],[-73.0602,-36.8357]]]}"
9,"{""type"":""Polygon"",""coordinates"":[[[-73.044,-36.8161],[-73.0423,-36.8121],[-73.042,-36.8113],[-73.0391,-36.8087],[-73.0379,-36.8078],[-73.0372,-36.8072],[-73.037,-36.8071],[-73.0367,-36.807],[-73.0362,-36.8067],[-73.0361,-36.8067],[-73.0317,-36.8045],[-73.0313,-36.8043,0.0],[-73.0305,-36.8042,0.0],[-73.0292,-36.8063],[-73.0288,-36.807],[-73.0281,-36.8108],[-73.0281,-36.8109],[-73.0281,-36.811],[-73.0281,-36.811],[-73.0281,-36.8111],[-73.0281,-36.8111],[-73.0282,-36.8113],[-73.0281,-36.8155],[-73.026,-36.8163],[-73.0258,-36.8164,0.0],[-73.0252,-36.8166],[-73.0249,-36.8167],[-73.0261,-36.8173],[-73.0269,-36.8175],[-73.0305,-36.8179],[-73.0331,-36.819],[-73.0358,-36.8208,0.0],[-73.0364,-36.8207,0.0],[-73.0409,-36.8186,0.0],[-73.0423,-36.8182],[-73.0427,-36.8181,0.0],[-73.044,-36.8161]]]}"
10,"{""type"":""Polygon"",""coordinates"":[[[-73.0631,-36.8232],[-73.0625,-36.8251],[-73.0607,-36.8269],[-73.0569,-36.8266,0.0],[-73.055,-36.8271,0.0],[-73.054,-36.8274,0.0],[-73.0514,-36.8282,0.0],[-73.0499,-36.8288],[-73.0464,-36.8293],[-73.0449,-36.8267],[-73.0446,-36.8247,0.0],[-73.0429,-36.8221],[-73.0426,-36.8193,0.0],[-73.0419,-36.8152,0.0],[-73.0427,-36.815],[-73.047,-36.8141],[-73.0485,-36.8135,0.0],[-73.0506,-36.8125],[-73.0545,-36.8117,0.0],[-73.0586,-36.8127],[-73.0604,-36.8167,0.0],[-73.0613,-36.8192,0.0],[-73.0631,-36.8232]]]}"
