"ID","walkshed.text"
1,"{""type"":""Polygon"",""coordinates"":[[[-71.2545,-29.903],[-71.2538,-29.9009],[-71.2496,-29.8984],[-71.2494,-29.8983],[-71.2458,-29.8956],[-71.243,-29.899],[-71.2393,-29.8989],[-71.239,-29.8988],[-71.2387,-29.8987],[-71.2359,-29.8967],[-71.2351,-29.8987],[-71.2343,-29.9023],[-71.2342,-29.9033],[-71.2341,-29.9052],[-71.2366,-29.9085],[-71.239,-29.9093],[-71.2415,-29.9113],[-71.2439,-29.9126,0.0],[-71.2468,-29.9115,0.0],[-71.2486,-29.9107],[-71.2498,-29.9098,0.0],[-71.2518,-29.9073],[-71.2533,-29.9059,0.0],[-71.2543,-29.9051],[-71.2544,-29.9044],[-71.2544,-29.9042],[-71.2545,-29.903]]]}"
2,"{""type"":""Polygon"",""coordinates"":[[[-71.252,-29.8771],[-71.2512,-29.8789],[-71.2507,-29.8795],[-71.2498,-29.8805],[-71.2476,-29.8829],[-71.2464,-29.8857,0.0],[-71.2459,-29.8863],[-71.243,-29.8885,0.0],[-71.2414,-29.8879],[-71.2403,-29.8873],[-71.2397,-29.887],[-71.2389,-29.8865],[-71.2384,-29.8862],[-71.2355,-29.8845],[-71.2334,-29.8843],[-71.2331,-29.8843],[-71.2314,-29.884],[-71.231,-29.884],[-71.2308,-29.8838],[-71.2287,-29.8815],[-71.23,-29.8779],[-71.2327,-29.8741],[-71.2338,-29.8727,0.0],[-71.2346,-29.8718,0.0],[-71.2365,-29.8701],[-71.2388,-29.8679],[-71.2389,-29.8678],[-71.2423,-29.87,0.0],[-71.2454,-29.8719],[-71.2469,-29.8729],[-71.2497,-29.8748],[-71.2508,-29.8757],[-71.252,-29.8771]]]}"
3,"{""type"":""Polygon"",""coordinates"":[[[-71.2613,-29.9288],[-71.2598,-29.9328,0.0],[-71.2582,-29.9368],[-71.2565,-29.9412],[-71.2564,-29.9414],[-71.2551,-29.9413],[-71.2548,-29.9413],[-71.2511,-29.94],[-71.2482,-29.9391],[-71.2438,-29.9371],[-71.2428,-29.9366],[-71.242,-29.9362],[-71.2407,-29.9356],[-71.2403,-29.9354],[-71.2418,-29.9315],[-71.2435,-29.9279],[-71.2446,-29.9248],[-71.2464,-29.9219,0.0],[-71.2482,-29.9222],[-71.2499,-29.9228],[-71.2503,-29.9229],[-71.2542,-29.9249,0.0],[-71.2577,-29.9263],[-71.2598,-29.9273],[-71.2613,-29.9288]]]}"
4,"{""type"":""Polygon"",""coordinates"":[[[-71.2676,-29.9058],[-71.2652,-29.9035],[-71.2638,-29.9009],[-71.2598,-29.8987],[-71.2596,-29.8987],[-71.257,-29.8991],[-71.2547,-29.8975],[-71.2535,-29.8962],[-71.2535,-29.8962],[-71.2534,-29.8963],[-71.2533,-29.8963],[-71.2526,-29.8968],[-71.2519,-29.8973],[-71.2507,-29.8983],[-71.2506,-29.8985],[-71.2495,-29.8994],[-71.2463,-29.9018,0.0],[-71.2454,-29.9026],[-71.2434,-29.9056],[-71.2429,-29.9069],[-71.2429,-29.9071],[-71.2449,-29.9089],[-71.2452,-29.9092],[-71.2468,-29.9101,0.0],[-71.2508,-29.9122,0.0],[-71.2538,-29.9141],[-71.2544,-29.9144],[-71.2571,-29.9158],[-71.2594,-29.9137],[-71.2629,-29.9107],[-71.266,-29.9072],[-71.2676,-29.9058]]]}"
5,"{""type"":""Polygon"",""coordinates"":[[[-71.2584,-29.9056],[-71.2584,-29.9059],[-71.2562,-29.9099],[-71.2555,-29.9106],[-71.2532,-29.9133],[-71.2522,-29.9147],[-71.2498,-29.9162,0.0],[-71.2475,-29.9165],[-71.2445,-29.9168],[-71.2431,-29.9147],[-71.2405,-29.9135],[-71.2405,-29.9133],[-71.2405,-29.9128],[-71.2366,-29.9103],[-71.2359,-29.9108],[-71.2355,-29.9111],[-71.2354,-29.9112],[-71.235,-29.9114],[-71.2343,-29.9119],[-71.2335,-29.9124],[-71.2322,-29.9138],[-71.232,-29.9139],[-71.2313,-29.9143],[-71.2309,-29.9144],[-71.2308,-29.9143],[-71.2305,-29.914],[-71.2298,-29.9117],[-71.2298,-29.9117],[-71.2298,-29.9117],[-71.2309,-29.911],[-71.2314,-29.9107],[-71.2344,-29.9078],[-71.2353,-29.9059],[-71.2375,-29.9042],[-71.2402,-29.9004],[-71.2405,-29.9002],[-71.2423,-29.8993],[-71.2461,-29.8974],[-71.2488,-29.8984],[-71.2495,-29.8987],[-71.2524,-29.9007],[-71.2559,-29.903,0.0],[-71.2584,-29.9056]]]}"
6,"{""type"":""Polygon"",""coordinates"":[[[-71.2591,-29.9226],[-71.258,-29.9266],[-71.2564,-29.9293],[-71.2552,-29.9303,0.0],[-71.2519,-29.9293],[-71.2474,-29.9281],[-71.2449,-29.9273],[-71.2451,-29.9269],[-71.2454,-29.9261],[-71.2451,-29.9212],[-71.2447,-29.9196],[-71.2443,-29.918],[-71.2437,-29.9157],[-71.2447,-29.9135],[-71.2468,-29.9121],[-71.2485,-29.91],[-71.2493,-29.9106],[-71.2495,-29.9107],[-71.2539,-29.9127],[-71.2559,-29.9134],[-71.2591,-29.9153],[-71.2586,-29.916],[-71.2585,-29.9205],[-71.2591,-29.9226]]]}"
7,"{""type"":""Polygon"",""coordinates"":[[[-71.2567,-29.9059,0.0],[-71.2566,-29.9056],[-71.2561,-29.9049],[-71.2547,-29.9037,0.0],[-71.2525,-29.9022],[-71.2496,-29.9002],[-71.2481,-29.8992],[-71.2463,-29.8982],[-71.2446,-29.8985],[-71.2441,-29.8985],[-71.2397,-29.8991],[-71.2393,-29.9],[-71.2382,-29.9027],[-71.2352,-29.9055],[-71.2351,-29.9057],[-71.2345,-29.906],[-71.2335,-29.9076],[-71.2333,-29.9079],[-71.2309,-29.911],[-71.2298,-29.9117],[-71.2298,-29.9117],[-71.2298,-29.9117],[-71.2305,-29.914],[-71.2308,-29.9143],[-71.2309,-29.9144],[-71.2313,-29.9143],[-71.232,-29.9139],[-71.2322,-29.9138],[-71.2335,-29.9124],[-71.2343,-29.9119],[-71.235,-29.9114],[-71.2354,-29.9112],[-71.2355,-29.9111],[-71.2359,-29.9108],[-71.2362,-29.9105],[-71.2405,-29.9128],[-71.2404,-29.9137],[-71.2405,-29.9138],[-71.2431,-29.915],[-71.2443,-29.9155,0.0],[-71.246,-29.9153,0.0],[-71.2493,-29.9141],[-71.2512,-29.9128],[-71.2537,-29.9099],[-71.2567,-29.9059,0.0]]]}"
8,"{""type"":""Polygon"",""coordinates"":[[[-71.2554,-29.9141],[-71.2527,-29.91],[-71.2526,-29.9099,0.0],[-71.2499,-29.9075,0.0],[-71.2487,-29.9062,0.0],[-71.2475,-29.9056],[-71.2461,-29.9051,0.0],[-71.2431,-29.9044],[-71.2416,-29.9051],[-71.2382,-29.908],[-71.2375,-29.9083],[-71.2348,-29.9092],[-71.2346,-29.9093],[-71.2333,-29.9097],[-71.2328,-29.9099],[-71.2325,-29.9101],[-71.2314,-29.9107],[-71.2309,-29.911],[-71.2298,-29.9117],[-71.2298,-29.9117],[-71.2298,-29.9117],[-71.2305,-29.914],[-71.2308,-29.9143],[-71.2309,-29.9144],[-71.2313,-29.9143],[-71.232,-29.9139],[-71.2322,-29.9138],[-71.2335,-29.9124],[-71.2343,-29.9119],[-71.235,-29.9114],[-71.2354,-29.9112],[-71.2396,-29.9124],[-71.2396,-29.9144],[-71.2386,-29.9177],[-71.2417,-29.9205],[-71.242,-29.9225],[-71.2443,-29.9231],[-71.2444,-29.9232],[-71.247,-29.9234],[-71.2499,-29.9227],[-71.2534,-29.9197],[-71.2544,-29.9194],[-71.2545,-29.9193],[-71.2551,-29.9146],[-71.2554,-29.9141]]]}"
9,"{""type"":""Polygon"",""coordinates"":[[[-71.2623,-29.8987],[-71.2622,-29.8986],[-71.2608,-29.8976],[-71.2597,-29.8973],[-71.2556,-29.8963],[-71.2537,-29.8962],[-71.2537,-29.8962],[-71.2536,-29.8962],[-71.2535,-29.8962],[-71.2534,-29.8963],[-71.2533,-29.8963],[-71.2523,-29.8969],[-71.251,-29.8974],[-71.2506,-29.8974],[-71.2494,-29.8977],[-71.2455,-29.8946],[-71.2433,-29.8989],[-71.243,-29.899],[-71.2423,-29.8993],[-71.2423,-29.8994],[-71.2463,-29.9018,0.0],[-71.2476,-29.9031],[-71.2486,-29.9039],[-71.2507,-29.9057],[-71.2537,-29.9081],[-71.255,-29.9083],[-71.2575,-29.9059],[-71.2604,-29.9026],[-71.2623,-29.8987]]]}"
10,"{""type"":""Polygon"",""coordinates"":[[[-71.2329,-29.9081],[-71.2327,-29.9083],[-71.2318,-29.9095],[-71.2305,-29.9109],[-71.2298,-29.9113],[-71.2272,-29.9147],[-71.227,-29.9155],[-71.2269,-29.9159],[-71.2265,-29.9162],[-71.2251,-29.917],[-71.2221,-29.9192],[-71.2218,-29.9193],[-71.2196,-29.9196],[-71.2196,-29.9196],[-71.2183,-29.9194],[-71.2177,-29.9192],[-71.2171,-29.9191],[-71.2152,-29.9186],[-71.2142,-29.9183],[-71.2107,-29.9168],[-71.2103,-29.9166],[-71.2088,-29.9159],[-71.2114,-29.9141],[-71.2115,-29.914],[-71.2142,-29.9133],[-71.2149,-29.913],[-71.2188,-29.9124,0.0],[-71.2203,-29.9118],[-71.2236,-29.9084],[-71.224,-29.9083],[-71.2246,-29.9082],[-71.2254,-29.9082],[-71.2303,-29.9089],[-71.2314,-29.9086],[-71.2326,-29.9082],[-71.2329,-29.9081]]]}"
