"ID","walkshed.text"
1,"{""type"":""Polygon"",""coordinates"":[[[-70.6616,-33.4467,0.0],[-70.6616,-33.4461,0.0],[-70.66,-33.4428],[-70.6581,-33.4391],[-70.6556,-33.4373],[-70.6529,-33.4351],[-70.6516,-33.4342],[-70.6497,-33.4351],[-70.6459,-33.4356],[-70.6432,-33.4376],[-70.64,-33.4399,0.0],[-70.6394,-33.442,0.0],[-70.6391,-33.4433,0.0],[-70.6401,-33.4461,0.0],[-70.642,-33.4485,0.0],[-70.6442,-33.4517],[-70.6473,-33.4548],[-70.648,-33.4556],[-70.6525,-33.4544],[-70.6542,-33.4525,0.0],[-70.6563,-33.4511],[-70.659,-33.4495],[-70.6594,-33.4492],[-70.6616,-33.4467,0.0]]]}"
2,"{""type"":""Polygon"",""coordinates"":[[[-70.67,-33.4405,0.0],[-70.6687,-33.438],[-70.6652,-33.4348,0.0],[-70.6627,-33.4321,0.0],[-70.6614,-33.4308],[-70.6611,-33.4306],[-70.6606,-33.4304],[-70.6593,-33.4306],[-70.6572,-33.4311],[-70.6546,-33.4317],[-70.6501,-33.4329],[-70.6495,-33.4331],[-70.6489,-33.4332],[-70.6488,-33.4332],[-70.648,-33.4334],[-70.6459,-33.4356],[-70.6445,-33.4378],[-70.6456,-33.4391],[-70.6476,-33.443],[-70.6499,-33.4442],[-70.651,-33.4474],[-70.6548,-33.4492,0.0],[-70.659,-33.4495],[-70.66,-33.4493],[-70.6632,-33.4465,0.0],[-70.6662,-33.4435],[-70.6687,-33.4415],[-70.67,-33.4405,0.0]]]}"
3,"{""type"":""Polygon"",""coordinates"":[[[-70.6571,-33.4701],[-70.6559,-33.4729],[-70.6542,-33.4751],[-70.6521,-33.4766],[-70.6483,-33.4796,0.0],[-70.6482,-33.4798,0.0],[-70.6436,-33.4797],[-70.6419,-33.4792],[-70.6404,-33.4779],[-70.637,-33.4743],[-70.6363,-33.4737,0.0],[-70.6351,-33.4724,0.0],[-70.6341,-33.4713],[-70.6329,-33.4696],[-70.6346,-33.4683],[-70.6373,-33.4661],[-70.6386,-33.4648],[-70.6417,-33.462],[-70.6461,-33.4603],[-70.6471,-33.4606,0.0],[-70.649,-33.4612],[-70.651,-33.4636,0.0],[-70.6537,-33.4666],[-70.657,-33.47],[-70.6571,-33.4701]]]}"
4,"{""type"":""Polygon"",""coordinates"":[[[-70.6757,-33.4423],[-70.6746,-33.441,0.0],[-70.6715,-33.4378],[-70.6707,-33.4367,0.0],[-70.6689,-33.4349],[-70.6675,-33.4337],[-70.6637,-33.4309],[-70.6632,-33.431],[-70.6627,-33.4311],[-70.6622,-33.4313],[-70.6599,-33.4324,0.0],[-70.6572,-33.4345,0.0],[-70.6541,-33.4365,0.0],[-70.6527,-33.4375],[-70.6514,-33.4385],[-70.6511,-33.4408],[-70.6519,-33.442],[-70.653,-33.4432],[-70.6547,-33.4451,0.0],[-70.6567,-33.4492],[-70.659,-33.4501,0.0],[-70.6619,-33.451,0.0],[-70.6647,-33.45],[-70.6683,-33.4478,0.0],[-70.6698,-33.4469],[-70.6729,-33.4445],[-70.6743,-33.4434],[-70.6757,-33.4423]]]}"
5,"{""type"":""Polygon"",""coordinates"":[[[-70.6584,-33.47],[-70.6548,-33.4728],[-70.651,-33.4754],[-70.6482,-33.4777,0.0],[-70.6481,-33.4778,0.0],[-70.6478,-33.4776,0.0],[-70.6436,-33.4754],[-70.6421,-33.4721,0.0],[-70.6407,-33.4703],[-70.6396,-33.4692],[-70.6392,-33.4688,0.0],[-70.6379,-33.4676],[-70.6375,-33.4671],[-70.6371,-33.4667],[-70.6365,-33.466,0.0],[-70.6377,-33.4646],[-70.6399,-33.4628,0.0],[-70.6429,-33.4607],[-70.6453,-33.4587],[-70.6476,-33.4575,0.0],[-70.6497,-33.4561,0.0],[-70.6519,-33.4581,0.0],[-70.6555,-33.4602],[-70.6564,-33.4627],[-70.6564,-33.4627,0.0],[-70.6564,-33.4627,0.0],[-70.6564,-33.4629],[-70.6564,-33.4633,0.0],[-70.6564,-33.4633,0.0],[-70.6564,-33.4633],[-70.6564,-33.4633,0.0],[-70.6564,-33.4633,0.0],[-70.6564,-33.4633,0.0],[-70.6564,-33.4636,0.0],[-70.6564,-33.464,0.0],[-70.6563,-33.4645,0.0],[-70.6563,-33.4649,0.0],[-70.6563,-33.4656],[-70.6583,-33.47],[-70.6584,-33.47]]]}"
6,"{""type"":""Polygon"",""coordinates"":[[[-70.6567,-33.4258,0.0],[-70.6548,-33.4284],[-70.6535,-33.4307,0.0],[-70.6529,-33.4321],[-70.6526,-33.4327,0.0],[-70.6504,-33.436,0.0],[-70.6486,-33.4364,0.0],[-70.6472,-33.4366,0.0],[-70.645,-33.4355,0.0],[-70.642,-33.4342,0.0],[-70.6413,-33.4338,0.0],[-70.6371,-33.4322],[-70.6361,-33.4319],[-70.6353,-33.431],[-70.6353,-33.4304],[-70.6359,-33.4296],[-70.636,-33.4296],[-70.6389,-33.4259],[-70.6373,-33.4234],[-70.6395,-33.4219],[-70.6404,-33.4192],[-70.6438,-33.4169,0.0],[-70.6446,-33.4178],[-70.6486,-33.4193],[-70.6505,-33.4199],[-70.654,-33.4221],[-70.6553,-33.423],[-70.6567,-33.4258,0.0]]]}"
7,"{""type"":""Polygon"",""coordinates"":[[[-70.6789,-33.4587],[-70.6782,-33.455,0.0],[-70.6779,-33.4535],[-70.6757,-33.4498],[-70.6733,-33.4477,0.0],[-70.6712,-33.4456],[-70.671,-33.4454],[-70.6693,-33.4461],[-70.6648,-33.4474],[-70.6619,-33.4497],[-70.6604,-33.4506],[-70.6583,-33.4522],[-70.6581,-33.4524],[-70.6579,-33.4526],[-70.6579,-33.4552,0.0],[-70.6584,-33.4564,0.0],[-70.6604,-33.4587,0.0],[-70.6639,-33.4617],[-70.6658,-33.4636],[-70.6658,-33.4633],[-70.6658,-33.4623],[-70.6659,-33.4607],[-70.6695,-33.4587],[-70.6717,-33.4624],[-70.6717,-33.4627],[-70.6716,-33.4635],[-70.6716,-33.4637],[-70.6747,-33.4618],[-70.6762,-33.4609],[-70.6789,-33.4587]]]}"
8,"{""type"":""Polygon"",""coordinates"":[[[-70.6945,-33.4397,0.0],[-70.6937,-33.4385,0.0],[-70.6922,-33.4368,0.0],[-70.6885,-33.4338,0.0],[-70.6873,-33.4327,0.0],[-70.6873,-33.4327,0.0],[-70.6873,-33.4327,0.0],[-70.6872,-33.4327,0.0],[-70.6871,-33.4327,0.0],[-70.6826,-33.4339],[-70.6805,-33.4332,0.0],[-70.6793,-33.4337],[-70.6772,-33.4355,0.0],[-70.6744,-33.4376,0.0],[-70.6725,-33.4389],[-70.6716,-33.4395,0.0],[-70.6724,-33.4403],[-70.673,-33.4408,0.0],[-70.6753,-33.4435],[-70.6763,-33.4448],[-70.6781,-33.4463,0.0],[-70.6793,-33.4472,0.0],[-70.6838,-33.4484],[-70.6881,-33.4461,0.0],[-70.6902,-33.4443,0.0],[-70.6932,-33.4407,0.0],[-70.6945,-33.4397,0.0]]]}"
9,"{""type"":""Polygon"",""coordinates"":[[[-70.6899,-33.4391,0.0],[-70.6871,-33.442],[-70.6892,-33.4443],[-70.688,-33.4453],[-70.6849,-33.4478],[-70.6838,-33.4488],[-70.68,-33.4513,0.0],[-70.6785,-33.4511,0.0],[-70.6779,-33.4508,0.0],[-70.6744,-33.4495],[-70.6728,-33.4457],[-70.672,-33.4448],[-70.6715,-33.4443,0.0],[-70.6698,-33.4427],[-70.6687,-33.4415],[-70.6683,-33.4409],[-70.6677,-33.4402],[-70.668,-33.4391],[-70.6685,-33.4387,0.0],[-70.6701,-33.4377],[-70.6729,-33.435],[-70.6771,-33.4327,0.0],[-70.6806,-33.4302,0.0],[-70.6839,-33.4329,0.0],[-70.6872,-33.4366,0.0],[-70.6892,-33.4384,0.0],[-70.6899,-33.4391,0.0]]]}"
10,"{""type"":""Polygon"",""coordinates"":[[[-70.6595,-33.4264,0.0],[-70.6585,-33.4225],[-70.6558,-33.4205],[-70.6543,-33.4209,0.0],[-70.6507,-33.4179],[-70.6496,-33.418],[-70.6457,-33.4174],[-70.644,-33.4164],[-70.6438,-33.4162,0.0],[-70.6437,-33.4162,0.0],[-70.6426,-33.4168,0.0],[-70.6405,-33.4195],[-70.6381,-33.4232],[-70.6389,-33.4259],[-70.6368,-33.4303],[-70.6371,-33.4304],[-70.6381,-33.4306],[-70.6423,-33.4327],[-70.646,-33.4351,0.0],[-70.6473,-33.4359,0.0],[-70.6487,-33.4358,0.0],[-70.6499,-33.4357,0.0],[-70.6529,-33.4321],[-70.6558,-33.4286],[-70.6595,-33.4264,0.0]]]}"
