"ID","walkshed.text"
1,"{""type"":""Polygon"",""coordinates"":[[[-72.603,-38.7302],[-72.6023,-38.7315],[-72.601,-38.7346,0.0],[-72.6006,-38.7369,0.0],[-72.5998,-38.7391],[-72.5998,-38.7392],[-72.5977,-38.7403,0.0],[-72.5953,-38.7416],[-72.5929,-38.743,0.0],[-72.5914,-38.7423],[-72.5899,-38.7416],[-72.5883,-38.7408],[-72.5867,-38.7399,0.0],[-72.5825,-38.7395],[-72.5794,-38.7358,0.0],[-72.5782,-38.7351,0.0],[-72.5775,-38.7347],[-72.5787,-38.7303],[-72.5791,-38.7281,0.0],[-72.5813,-38.727],[-72.585,-38.7271],[-72.5883,-38.7249],[-72.5885,-38.725],[-72.5887,-38.725],[-72.5897,-38.7252],[-72.5922,-38.7258],[-72.5964,-38.7263],[-72.5976,-38.7266],[-72.6015,-38.7292],[-72.603,-38.73],[-72.603,-38.7302]]]}"
2,"{""type"":""Polygon"",""coordinates"":[[[-72.6041,-38.763,0.0],[-72.6034,-38.761],[-72.6022,-38.7578],[-72.6017,-38.7576],[-72.5997,-38.7568],[-72.5962,-38.7541],[-72.592,-38.7544],[-72.5911,-38.7541,0.0],[-72.5908,-38.7539,0.0],[-72.5908,-38.7539,0.0],[-72.5907,-38.7539,0.0],[-72.5906,-38.7539,0.0],[-72.5906,-38.7539,0.0],[-72.5906,-38.7538,0.0],[-72.5905,-38.7538,0.0],[-72.5905,-38.7538,0.0],[-72.5905,-38.7538,0.0],[-72.5904,-38.7538],[-72.5904,-38.7538,0.0],[-72.5886,-38.7529,0.0],[-72.5875,-38.7525],[-72.5868,-38.7539],[-72.5856,-38.7566],[-72.5865,-38.7595],[-72.585,-38.7641],[-72.5846,-38.7646],[-72.5844,-38.7649],[-72.587,-38.7677,0.0],[-72.591,-38.7662],[-72.5927,-38.7673],[-72.5933,-38.7681],[-72.5957,-38.769],[-72.5969,-38.7695,0.0],[-72.6007,-38.7676],[-72.6019,-38.7673,0.0],[-72.6033,-38.767,0.0],[-72.6041,-38.7669,0.0],[-72.6041,-38.763,0.0]]]}"
3,"{""type"":""Polygon"",""coordinates"":[[[-72.5998,-38.7393],[-72.5995,-38.7381],[-72.5983,-38.7372],[-72.5949,-38.7356,0.0],[-72.5937,-38.7347],[-72.5906,-38.733],[-72.5905,-38.7329],[-72.5889,-38.7325],[-72.5858,-38.7309],[-72.583,-38.7314],[-72.5797,-38.7337],[-72.578,-38.7344,0.0],[-72.5773,-38.7346,0.0],[-72.5772,-38.7346,0.0],[-72.5761,-38.7385,0.0],[-72.5748,-38.7404],[-72.5744,-38.7407],[-72.5762,-38.7439],[-72.5777,-38.7447],[-72.5807,-38.7464],[-72.5813,-38.7467],[-72.5837,-38.7476],[-72.5839,-38.7477],[-72.5841,-38.7477],[-72.5844,-38.7478],[-72.5878,-38.7511],[-72.5905,-38.748],[-72.5932,-38.7487],[-72.5958,-38.7463],[-72.5958,-38.7462],[-72.5964,-38.7445],[-72.5973,-38.7427],[-72.5998,-38.7393]]]}"
4,"{""type"":""Polygon"",""coordinates"":[[[-72.6333,-38.7337],[-72.6316,-38.7313,0.0],[-72.6292,-38.7303],[-72.6269,-38.7286,0.0],[-72.6268,-38.7286],[-72.6235,-38.727,0.0],[-72.6206,-38.7257,0.0],[-72.6189,-38.7258,0.0],[-72.6145,-38.7282,0.0],[-72.6136,-38.729],[-72.6134,-38.7296,0.0],[-72.6126,-38.7312,0.0],[-72.6114,-38.7349],[-72.6109,-38.7395],[-72.6142,-38.7413,0.0],[-72.6158,-38.742],[-72.6176,-38.7421],[-72.6213,-38.7438],[-72.6254,-38.7449,0.0],[-72.6274,-38.7424,0.0],[-72.6288,-38.7409],[-72.6307,-38.7374],[-72.6317,-38.7361],[-72.632,-38.7356],[-72.6329,-38.7343],[-72.6332,-38.734],[-72.6333,-38.7337]]]}"
5,"{""type"":""Polygon"",""coordinates"":[[[-72.6296,-38.7255],[-72.6295,-38.7269],[-72.6292,-38.7303],[-72.6271,-38.732,0.0],[-72.627,-38.7321,0.0],[-72.6232,-38.7353,0.0],[-72.623,-38.7354,0.0],[-72.6226,-38.7351,0.0],[-72.6179,-38.735],[-72.6168,-38.7346],[-72.6143,-38.7337],[-72.6097,-38.7323],[-72.6066,-38.7299],[-72.6066,-38.7298],[-72.6072,-38.728,0.0],[-72.6078,-38.7263,0.0],[-72.6083,-38.7253],[-72.6105,-38.7214],[-72.6125,-38.72],[-72.614,-38.7196],[-72.618,-38.7199],[-72.6196,-38.7198,0.0],[-72.6232,-38.7219],[-72.6252,-38.7231,0.0],[-72.6256,-38.7234],[-72.6296,-38.7255]]]}"
6,"{""type"":""Polygon"",""coordinates"":[[[-72.5934,-38.7323],[-72.5929,-38.732],[-72.5899,-38.7304],[-72.5879,-38.7291],[-72.5878,-38.729],[-72.5876,-38.7289],[-72.5871,-38.7287],[-72.5836,-38.7276],[-72.5813,-38.727],[-72.5783,-38.724],[-72.5779,-38.7233],[-72.5752,-38.7232],[-72.5733,-38.7242],[-72.5732,-38.7243],[-72.5726,-38.7251],[-72.5702,-38.7292],[-72.5697,-38.7294],[-72.5696,-38.7297],[-72.5695,-38.7314],[-72.57,-38.7326],[-72.5705,-38.7338,0.0],[-72.5714,-38.7342,0.0],[-72.5731,-38.7333],[-72.5769,-38.7343],[-72.5778,-38.737],[-72.5769,-38.7393,0.0],[-72.5779,-38.7403],[-72.5787,-38.7407],[-72.5802,-38.7415],[-72.5848,-38.7416],[-72.5859,-38.7422],[-72.5863,-38.7411],[-72.5868,-38.7399],[-72.59,-38.7369,0.0],[-72.5924,-38.7355],[-72.5926,-38.7354],[-72.5934,-38.7323]]]}"
7,"{""type"":""Polygon"",""coordinates"":[[[-72.5811,-38.7381,0.0],[-72.5811,-38.7381,0.0],[-72.5811,-38.7381,0.0],[-72.5811,-38.7381,0.0],[-72.5811,-38.7381],[-72.581,-38.738],[-72.581,-38.738,0.0],[-72.581,-38.738],[-72.5805,-38.7375],[-72.5798,-38.7368],[-72.5795,-38.7323,0.0],[-72.5795,-38.7302],[-72.5782,-38.7295],[-72.5746,-38.7268,0.0],[-72.5736,-38.7259,0.0],[-72.5709,-38.727],[-72.568,-38.7273,0.0],[-72.5667,-38.7276,0.0],[-72.5627,-38.7292],[-72.5601,-38.7308],[-72.5596,-38.7314],[-72.5595,-38.7315],[-72.5595,-38.7335],[-72.5604,-38.7354],[-72.5604,-38.7355],[-72.5606,-38.7357],[-72.562,-38.7366],[-72.5623,-38.7368],[-72.5637,-38.7373],[-72.5641,-38.7375],[-72.5647,-38.7377],[-72.5652,-38.7379],[-72.5658,-38.7381],[-72.5663,-38.7382],[-72.5703,-38.7403],[-72.5739,-38.7426],[-72.5748,-38.743],[-72.5778,-38.7424,0.0],[-72.579,-38.7416],[-72.5804,-38.74],[-72.5805,-38.7399,0.0],[-72.5811,-38.7381,0.0]]]}"
8,"{""type"":""Polygon"",""coordinates"":[[[-72.6383,-38.76,0.0],[-72.6371,-38.758],[-72.6358,-38.7553,0.0],[-72.6358,-38.7552],[-72.6327,-38.7513],[-72.6286,-38.749,0.0],[-72.6269,-38.7491],[-72.6241,-38.7493,0.0],[-72.6234,-38.7511,0.0],[-72.6207,-38.7529],[-72.6186,-38.7528],[-72.6185,-38.7529],[-72.6147,-38.7556],[-72.6143,-38.7559],[-72.6142,-38.7564],[-72.6143,-38.7568],[-72.6152,-38.7571],[-72.616,-38.7572],[-72.6183,-38.758],[-72.6212,-38.761],[-72.6244,-38.7614],[-72.6255,-38.7615],[-72.6268,-38.7616],[-72.6279,-38.7613],[-72.6322,-38.7612],[-72.6358,-38.7614],[-72.6374,-38.7613],[-72.6377,-38.7609],[-72.6383,-38.76,0.0]]]}"
9,"{""type"":""Polygon"",""coordinates"":[[[-72.6343,-38.7371],[-72.6342,-38.7374,0.0],[-72.6339,-38.7377,0.0],[-72.6319,-38.742],[-72.6316,-38.7426,0.0],[-72.6313,-38.7432,0.0],[-72.6287,-38.7452],[-72.6269,-38.747,0.0],[-72.6253,-38.7466],[-72.6251,-38.7466],[-72.6245,-38.7465],[-72.6237,-38.7461],[-72.6229,-38.7458],[-72.6219,-38.7453],[-72.6211,-38.745],[-72.6203,-38.7446],[-72.6201,-38.7445],[-72.6181,-38.7438],[-72.6149,-38.7435],[-72.6109,-38.7407],[-72.6112,-38.7395],[-72.6123,-38.7368,0.0],[-72.6137,-38.7342,0.0],[-72.6167,-38.7305],[-72.6169,-38.7301],[-72.618,-38.7294,0.0],[-72.6206,-38.728,0.0],[-72.6249,-38.73],[-72.6264,-38.7302],[-72.6265,-38.7303],[-72.6308,-38.7325],[-72.6321,-38.733],[-72.6335,-38.7337],[-72.6343,-38.7371]]]}"
10,"{""type"":""Polygon"",""coordinates"":[[[-72.6348,-38.7608],[-72.6347,-38.7609],[-72.6344,-38.7612],[-72.6344,-38.7612],[-72.6322,-38.7612],[-72.6279,-38.7613],[-72.6268,-38.7616],[-72.6255,-38.7615],[-72.6244,-38.7614],[-72.6212,-38.761],[-72.6183,-38.758],[-72.616,-38.7572],[-72.6152,-38.7571],[-72.6134,-38.7566],[-72.6121,-38.7558],[-72.6119,-38.7556],[-72.6118,-38.7554],[-72.6118,-38.7553],[-72.6118,-38.7545],[-72.6119,-38.7543],[-72.6145,-38.7525],[-72.6156,-38.7506,0.0],[-72.6157,-38.7506,0.0],[-72.6181,-38.7504,0.0],[-72.6204,-38.751],[-72.6249,-38.7506],[-72.6274,-38.7511,0.0],[-72.6295,-38.7526],[-72.6324,-38.7553],[-72.6329,-38.7561],[-72.6337,-38.7579],[-72.6337,-38.7581],[-72.6338,-38.7582],[-72.6348,-38.7608]]]}"
