"ID","walkshed.text"
1,"{""type"":""Polygon"",""coordinates"":[[[-73.2522,-39.811],[-73.2522,-39.8109],[-73.2515,-39.8105],[-73.2471,-39.8104],[-73.2456,-39.8094],[-73.2454,-39.8093],[-73.245,-39.8091],[-73.2447,-39.809],[-73.2444,-39.809],[-73.2441,-39.809],[-73.2438,-39.809],[-73.2421,-39.8098],[-73.2401,-39.8115],[-73.2389,-39.8128],[-73.2364,-39.8154],[-73.2346,-39.8169],[-73.2346,-39.817],[-73.2353,-39.8186],[-73.2376,-39.823],[-73.2396,-39.8244],[-73.2397,-39.8244],[-73.2434,-39.8256],[-73.2464,-39.827],[-73.2479,-39.8277],[-73.2493,-39.8278],[-73.2497,-39.8277],[-73.2505,-39.8268],[-73.2514,-39.8251],[-73.2504,-39.8225],[-73.2496,-39.818],[-73.2489,-39.8158],[-73.2502,-39.8123],[-73.2522,-39.811]]]}"
2,"{""type"":""Polygon"",""coordinates"":[[[-73.2339,-39.8298],[-73.2338,-39.8297],[-73.2316,-39.8254],[-73.2314,-39.8243],[-73.2313,-39.8231],[-73.2297,-39.8211],[-73.2296,-39.821],[-73.2279,-39.8212],[-73.2242,-39.8239],[-73.2235,-39.8239],[-73.223,-39.8239],[-73.2228,-39.8239],[-73.2214,-39.8239],[-73.2212,-39.8239],[-73.221,-39.8239],[-73.2209,-39.824],[-73.2162,-39.8239],[-73.2155,-39.8234],[-73.2138,-39.8228],[-73.2132,-39.8241],[-73.2116,-39.8287],[-73.211,-39.8307],[-73.2102,-39.834],[-73.2114,-39.8369],[-73.2123,-39.8369],[-73.2137,-39.8367],[-73.2182,-39.8391],[-73.2217,-39.8384],[-73.2236,-39.8375],[-73.2245,-39.8368],[-73.2256,-39.836],[-73.2299,-39.8337],[-73.2306,-39.8335],[-73.2315,-39.8329],[-73.2339,-39.8298]]]}"
3,"{""type"":""Polygon"",""coordinates"":[[[-73.2519,-39.8111],[-73.2519,-39.811],[-73.2512,-39.8106],[-73.2464,-39.8099],[-73.2454,-39.8091],[-73.245,-39.809],[-73.245,-39.8089],[-73.2441,-39.809],[-73.2438,-39.809],[-73.2408,-39.8104],[-73.24,-39.8108],[-73.2384,-39.8118],[-73.238,-39.8121],[-73.2365,-39.8132],[-73.2342,-39.8151],[-73.231,-39.8176],[-73.2309,-39.8176],[-73.2304,-39.8181],[-73.2301,-39.8191],[-73.2302,-39.8197],[-73.2312,-39.8206],[-73.2319,-39.8205],[-73.2341,-39.8188],[-73.2371,-39.8222],[-73.2367,-39.8232],[-73.2388,-39.8246],[-73.2397,-39.8251],[-73.2433,-39.8255],[-73.2468,-39.8242],[-73.2496,-39.8215],[-73.2496,-39.818],[-73.2489,-39.8158],[-73.2503,-39.8121],[-73.2519,-39.8111]]]}"
4,"{""type"":""Polygon"",""coordinates"":[[[-73.232,-39.8297],[-73.2319,-39.8295],[-73.2298,-39.8252],[-73.2295,-39.8241],[-73.2282,-39.8236],[-73.228,-39.8236],[-73.2259,-39.8236],[-73.2214,-39.8239],[-73.221,-39.8239],[-73.219,-39.8242],[-73.2162,-39.825],[-73.2159,-39.8256],[-73.2121,-39.8284],[-73.2118,-39.8289],[-73.2113,-39.8309],[-73.2106,-39.834],[-73.2117,-39.8367],[-73.2157,-39.8396],[-73.216,-39.8399],[-73.2167,-39.8409],[-73.2174,-39.8417],[-73.2214,-39.8411],[-73.2233,-39.8402],[-73.2271,-39.8379],[-73.2272,-39.8379],[-73.2289,-39.8336],[-73.2297,-39.8332],[-73.2306,-39.8328],[-73.232,-39.8297]]]}"
5,"{""type"":""Polygon"",""coordinates"":[[[-73.2512,-39.8112],[-73.2512,-39.8111],[-73.2508,-39.8109],[-73.2464,-39.8099],[-73.2454,-39.8091],[-73.2453,-39.8091],[-73.2444,-39.809],[-73.2441,-39.809],[-73.2438,-39.809],[-73.2408,-39.8104],[-73.24,-39.8108],[-73.2384,-39.8118],[-73.238,-39.8121],[-73.2365,-39.8132],[-73.2356,-39.814],[-73.2342,-39.8151],[-73.231,-39.8176],[-73.2289,-39.8182],[-73.2292,-39.8201],[-73.2297,-39.821],[-73.2309,-39.8211],[-73.2324,-39.8209],[-73.2373,-39.82],[-73.2396,-39.8226],[-73.24,-39.8228],[-73.2431,-39.8232],[-73.246,-39.8219],[-73.248,-39.8202],[-73.2482,-39.82],[-73.2491,-39.8189],[-73.2496,-39.818],[-73.2489,-39.8158],[-73.2506,-39.8117],[-73.2512,-39.8112]]]}"
6,"{""type"":""Polygon"",""coordinates"":[[[-73.2459,-39.8152],[-73.2455,-39.8181],[-73.2453,-39.8183],[-73.2433,-39.8196],[-73.2428,-39.8199],[-73.2426,-39.8199],[-73.2389,-39.8227],[-73.2379,-39.8241],[-73.2378,-39.8242],[-73.2367,-39.8259],[-73.2364,-39.8263],[-73.232,-39.8265],[-73.2305,-39.8265],[-73.2266,-39.8263],[-73.2247,-39.826],[-73.2247,-39.8259],[-73.2239,-39.8248],[-73.2239,-39.8239],[-73.2242,-39.8239],[-73.2247,-39.8238],[-73.2279,-39.8213],[-73.2274,-39.8176],[-73.2259,-39.8163],[-73.2229,-39.8149],[-73.2226,-39.8142],[-73.2226,-39.8138],[-73.2239,-39.8137],[-73.227,-39.8135],[-73.2286,-39.8134],[-73.2287,-39.8139],[-73.2287,-39.8144],[-73.2286,-39.8148],[-73.231,-39.8176],[-73.2342,-39.8151],[-73.2356,-39.814],[-73.2365,-39.8132],[-73.238,-39.8121],[-73.2384,-39.8118],[-73.2396,-39.8111],[-73.24,-39.8108],[-73.24,-39.8108],[-73.2413,-39.8108],[-73.242,-39.8108],[-73.2455,-39.8142],[-73.2459,-39.8152]]]}"
7,"{""type"":""Polygon"",""coordinates"":[[[-73.2464,-39.8285],[-73.2446,-39.8322],[-73.2455,-39.8366],[-73.2455,-39.8367],[-73.2422,-39.8376],[-73.2413,-39.8376],[-73.2407,-39.8377],[-73.2368,-39.8389],[-73.2347,-39.8406],[-73.2343,-39.8409],[-73.2329,-39.8416],[-73.2309,-39.8404],[-73.2307,-39.8402],[-73.227,-39.8372],[-73.2259,-39.8342],[-73.223,-39.8315],[-73.2228,-39.8298],[-73.2246,-39.8273],[-73.2278,-39.8242],[-73.2291,-39.8237],[-73.233,-39.8213],[-73.2356,-39.8229],[-73.2383,-39.8224],[-73.2401,-39.8226],[-73.2414,-39.8239],[-73.2451,-39.8263],[-73.2464,-39.8285]]]}"
8,"{""type"":""Polygon"",""coordinates"":[[[-73.2266,-39.8379],[-73.2255,-39.8362],[-73.2249,-39.8354],[-73.2239,-39.8344],[-73.2235,-39.834],[-73.222,-39.8326],[-73.2198,-39.8301],[-73.2155,-39.8302],[-73.2138,-39.8302],[-73.2107,-39.8304],[-73.2106,-39.8305],[-73.2103,-39.8318],[-73.207,-39.8346],[-73.2065,-39.8348],[-73.206,-39.8349],[-73.2055,-39.8351],[-73.2056,-39.8389],[-73.2057,-39.8416],[-73.2073,-39.842],[-73.2112,-39.8446],[-73.2117,-39.8447],[-73.2149,-39.8445],[-73.217,-39.8456],[-73.2175,-39.8457],[-73.2205,-39.8441],[-73.2236,-39.8423],[-73.224,-39.8409],[-73.2266,-39.8379]]]}"
9,"{""type"":""Polygon"",""coordinates"":[[[-73.2523,-39.8326],[-73.2521,-39.8319],[-73.2514,-39.8274],[-73.2514,-39.8251],[-73.2504,-39.8225],[-73.2496,-39.818],[-73.2485,-39.817],[-73.2468,-39.8162],[-73.2468,-39.8162],[-73.2454,-39.8162],[-73.2426,-39.8174],[-73.2396,-39.8214],[-73.2383,-39.8214],[-73.2373,-39.8222],[-73.2362,-39.8246],[-73.2356,-39.826],[-73.2351,-39.8273],[-73.2354,-39.8297],[-73.2355,-39.8302],[-73.2361,-39.8306],[-73.2381,-39.8313],[-73.2414,-39.8325],[-73.2414,-39.8325],[-73.2444,-39.8321],[-73.2494,-39.8319],[-73.2506,-39.8332],[-73.2511,-39.8335],[-73.2516,-39.8336],[-73.2523,-39.8326]]]}"
10,"{""type"":""Polygon"",""coordinates"":[[[-73.2448,-39.8362],[-73.2436,-39.8373],[-73.2434,-39.8375],[-73.2417,-39.8386],[-73.2408,-39.8388],[-73.2404,-39.8385],[-73.2372,-39.8389],[-73.238,-39.8438],[-73.2379,-39.8441],[-73.2378,-39.8444],[-73.2374,-39.8451],[-73.2371,-39.8452],[-73.2357,-39.8454],[-73.235,-39.8455],[-73.2315,-39.8482],[-73.2314,-39.8483],[-73.2312,-39.8485],[-73.2293,-39.8462],[-73.2265,-39.8441],[-73.2262,-39.8439],[-73.225,-39.8429],[-73.2218,-39.8394],[-73.2217,-39.8392],[-73.2198,-39.8364],[-73.2198,-39.8363],[-73.224,-39.8341],[-73.2277,-39.8311],[-73.2287,-39.8306],[-73.231,-39.8295],[-73.2334,-39.8279],[-73.2342,-39.8275],[-73.2349,-39.8271],[-73.236,-39.827],[-73.239,-39.8291],[-73.2407,-39.8295],[-73.2412,-39.8297],[-73.2426,-39.8309],[-73.2425,-39.831],[-73.2433,-39.8352],[-73.2448,-39.8362]]]}"
